	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0081624"	0.00	17.81	24.06	49.11	39.05	45.39	47.68	19.37	26.38	23.18	30.88	24.09	23.40	49.56	18.31
"FBtr0071763"	1.35	2.21	2.76	1.13	1.79	1.52	0.24	0.64	0.92	0.66	0.56	1.01	1.58	1.82	3.39
"FBtr0071764"	0.09	0.30	0.37	0.14	0.21	0.15	0.09	0.14	0.33	0.00	0.19	0.12	0.14	0.07	0.40
"FBtr0100521"	4.91	5.98	9.88	5.61	6.89	5.77	2.81	0.64	1.00	3.20	2.37	2.38	2.86	5.41	6.55
"FBtr0342981"	0.21	0.77	0.00	0.89	0.41	0.15	0.00	0.12	0.24	0.00	0.00	0.00	0.54	0.00	0.55
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083388"	0.00	0.00	0.02	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300485"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083381"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083382"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083384"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415463"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415465"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075357"	3.62	7.24	13.77	1.83	0.92	1.21	4.93	7.46	13.31	3.50	2.48	2.80	4.15	5.64	8.41
"FBtr0112790"	0.92	1.54	1.95	0.79	1.44	0.00	0.00	1.97	2.55	0.32	0.30	0.59	0.86	1.65	2.04
"FBtr0330130"	0.00	1.14	0.18	0.32	0.35	0.30	0.01	0.60	1.01	0.00	0.22	0.31	0.00	0.00	0.04
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.55	0.43	0.01
"FBtr0330133"	0.13	0.07	0.65	0.00	0.00	0.00	1.95	0.01	0.43	0.00	0.00	0.00	0.00	0.00	1.56
"FBtr0330134"	0.33	1.10	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBtr0330135"	5.01	7.88	9.54	2.27	2.65	0.91	10.42	6.49	8.17	2.18	1.40	1.74	2.40	2.73	8.23
"FBtr0330136"	0.35	1.50	2.42	0.00	2.78	0.00	12.30	0.69	1.76	0.00	0.00	0.00	0.00	0.22	0.17
"FBtr0345369"	0.01	0.00	0.02	0.24	0.00	0.77	2.46	0.00	0.00	0.58	0.45	0.38	0.06	0.00	0.00
"FBtr0080168"	22.81	25.59	24.74	31.81	31.39	29.20	17.24	14.90	17.14	24.25	19.26	25.33	31.34	29.89	31.29
"FBtr0070072"	0.76	0.70	0.30	0.81	0.90	0.84	1.11	0.45	0.98	1.36	0.57	1.41	3.48	0.98	1.87
"FBtr0082780"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300486"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0335223"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
"FBtr0074015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290063"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305189"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305190"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305191"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305192"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305194"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305195"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305196"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085609"	156.74	176.95	180.05	180.38	189.52	176.14	155.15	122.19	136.34	152.33	135.20	150.49	151.00	145.28	186.78
"FBtr0085610"	2.20	3.80	3.87	4.11	4.07	2.28	1.49	0.66	3.67	4.19	0.64	3.94	5.39	6.17	2.42
"FBtr0084619"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
"FBtr0330310"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
"FBtr0334916"	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072367"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073299"	0.00	0.03	0.00	0.05	0.00	0.00	0.07	0.03	0.06	0.05	0.00	0.08	0.16	0.17	0.24
"FBtr0073300"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084639"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084640"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070822"	3.02	53.94	252.75	900.21	940.93	1123.14	122.86	1.02	0.00	0.00	174.15	65.91	6.65	22.22	58.81
"FBtr0070823"	328.43	400.01	472.35	402.93	429.02	435.75	640.58	603.61	612.17	319.07	371.27	337.04	329.22	304.58	423.81
"FBtr0100662"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100663"	1056.82	1240.28	1236.68	524.90	478.75	363.19	1926.87	1497.62	1856.37	823.90	672.17	881.81	1010.63	936.18	1364.53
"FBtr0345894"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086029"	206.79	226.86	264.57	259.61	265.68	264.00	365.40	293.20	323.01	186.59	183.92	186.22	211.36	184.11	273.06
"FBtr0071519"	0.18	0.13	0.10	0.39	0.04	0.00	0.05	0.04	0.00	0.00	0.00	0.11	0.12	0.08	0.43
"FBtr0078478"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBtr0334090"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0082785"	0.00	0.00	0.00	0.00	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.05	0.00
"FBtr0082786"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346242"	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083143"	0.05	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.04	0.04	0.00	0.00	0.00
"FBtr0079219"	0.00	15.16	15.06	18.24	18.15	16.77	4.91	0.00	5.09	5.05	3.07	11.37	9.45	2.60	12.49
"FBtr0079220"	2.97	6.12	5.60	2.77	2.64	4.04	0.95	0.00	0.68	2.40	3.78	0.55	2.71	5.49	6.44
"FBtr0079221"	14.04	1.56	8.60	0.00	0.01	0.00	0.00	3.38	0.01	2.88	3.08	0.00	0.01	7.06	0.00
"FBtr0079431"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100353"	19.77	18.39	22.84	28.29	26.43	26.55	23.77	23.21	22.54	14.52	22.99	23.52	6.31	6.66	5.94
"FBtr0339663"	5.19	7.98	9.89	7.24	8.19	6.62	8.39	5.26	6.72	3.59	4.31	4.45	3.96	4.36	7.64
"FBtr0100589"	216.73	225.46	182.95	277.34	262.91	271.23	26.25	12.77	19.24	332.20	299.00	273.54	427.79	482.65	305.70
"FBtr0100590"	42.86	40.79	36.53	72.62	70.00	86.20	1.63	5.32	4.00	51.40	38.32	41.68	87.89	87.62	119.33
"FBtr0100591"	0.80	0.51	0.28	0.64	0.90	0.01	0.25	0.30	0.32	1.11	1.08	1.38	0.77	1.40	1.24
"FBtr0100593"	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100594"	2.66	3.56	5.65	6.16	8.40	4.35	0.00	0.42	0.23	4.56	2.35	3.80	5.68	5.31	5.05
"FBtr0006151"	0.80	0.51	0.28	0.64	0.90	0.01	0.25	0.30	0.32	1.11	1.08	1.38	0.77	1.40	1.24
"FBtr0100187"	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343699"	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086744"	1.05	1.84	0.00	1.71	3.11	2.52	0.00	1.00	2.15	0.00	0.00	3.29	1.88	0.00	0.83
"FBtr0340288"	33.47	41.03	45.79	45.00	41.75	41.99	26.67	17.69	23.41	27.84	29.14	30.05	31.88	36.07	42.23
"FBtr0078053"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083478"	44.10	51.50	49.29	55.23	60.63	56.21	7.02	3.98	7.45	38.55	33.47	42.85	45.86	46.13	58.22
"FBtr0331348"	0.36	0.29	0.00	0.30	0.28	0.71	0.00	0.00	0.00	0.27	0.58	0.26	0.34	0.00	0.51
"FBtr0084994"	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.20
"FBtr0084995"	42.96	81.18	66.20	50.38	42.35	53.92	50.26	69.59	65.53	57.28	53.18	48.09	48.77	59.69	75.59
"FBtr0084999"	0.00	0.00	0.24	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.21	0.00	0.48	0.77	0.23
"FBtr0085000"	0.28	0.25	0.06	0.00	0.00	0.09	0.58	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085001"	2.40	3.65	3.74	3.67	2.15	3.47	3.98	3.65	5.64	2.81	2.38	1.83	2.44	2.81	4.88
"FBtr0114544"	0.35	0.28	0.86	2.17	1.41	0.76	0.83	1.23	1.29	0.46	0.00	0.64	0.00	0.00	0.00
"FBtr0306657"	2.14	0.86	2.22	1.76	1.21	0.71	4.05	2.50	1.65	1.07	0.81	2.41	1.99	0.78	0.34
"FBtr0310660"	0.25	0.53	1.70	0.24	0.39	2.80	1.34	0.00	0.00	0.22	0.43	0.00	1.01	2.95	2.44
"FBtr0310661"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.21	0.53	1.66	3.98
"FBtr0339614"	90.89	118.63	143.02	107.27	118.14	111.85	175.05	142.98	157.80	82.87	89.25	78.37	72.66	72.59	90.54
"FBtr0081618"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081619"	0.00	0.09	0.00	0.52	0.98	3.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081620"	0.00	0.00	0.06	0.00	0.00	1.33	0.17	0.00	0.05	0.09	0.04	0.13	0.05	0.00	0.04
"FBtr0081153"	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.04	0.00	0.00	0.08	0.04	0.07
"FBtr0081154"	0.00	0.00	0.00	0.00	0.03	0.00	0.09	0.00	0.04	0.00	0.11	0.07	0.00	0.00	0.00
"FBtr0071331"	5.09	6.29	9.02	5.81	5.79	7.14	3.99	2.72	2.73	4.37	5.03	5.69	5.76	6.67	7.37
"FBtr0307281"	51.80	58.74	49.61	62.75	66.06	62.61	34.33	27.02	27.05	53.63	47.29	52.49	59.20	58.28	59.62
"FBtr0086983"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087004"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345521"	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBtr0089517"	4.53	3.18	2.74	0.82	4.40	3.00	1.99	1.97	2.45	2.21	5.54	5.21	5.37	6.30	2.95
"FBtr0089518"	34.22	29.68	31.02	42.70	43.14	48.57	34.57	42.24	44.54	32.13	47.65	45.72	43.22	41.55	45.52
"FBtr0089519"	78.00	76.49	79.00	125.18	121.29	113.39	107.79	95.73	91.35	87.09	72.32	61.82	40.92	26.38	50.55
"FBtr0089520"	3.59	2.84	1.03	1.34	1.88	1.33	0.76	1.42	3.01	2.51	1.15	2.59	2.40	2.68	3.38
"FBtr0336797"	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336798"	9.17	7.31	7.35	13.77	5.32	13.17	4.50	12.27	7.25	8.05	5.44	6.32	5.52	4.53	7.07
"FBtr0070025"	38.51	33.17	42.48	43.47	42.32	36.27	3.33	3.48	5.39	37.13	44.15	41.73	52.68	46.85	36.16
"FBtr0301931"	16.78	15.81	13.63	13.39	11.22	17.55	2.73	1.30	0.00	11.53	12.44	13.67	7.26	8.82	8.57
"FBtr0070504"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.07
"FBtr0085611"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.59
"FBtr0346141"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077850"	17.30	29.63	38.45	22.00	27.48	20.28	20.66	11.79	17.01	12.57	9.73	12.02	15.12	18.41	35.70
"FBtr0077851"	2.09	0.00	0.00	0.33	0.33	2.02	1.01	1.31	2.51	1.37	1.72	2.85	2.80	1.13	0.00
"FBtr0330658"	0.40	0.19	0.50	0.17	0.00	0.21	0.00	0.00	0.44	0.32	0.00	0.00	0.19	0.00	0.00
"FBtr0330659"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330660"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078481"	2120.30	2167.49	2092.64	1656.79	1374.14	1827.58	2590.20	2677.22	2812.19	1674.33	2251.28	2387.70	1668.08	1722.82	1598.01
"FBtr0334113"	13.65	11.43	17.55	9.07	7.67	6.53	16.34	19.26	20.41	9.82	13.62	15.08	6.99	10.59	15.63
"FBtr0070109"	0.00	0.09	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.09
"FBtr0307291"	0.00	0.00	0.09	0.05	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
"FBtr0307292"	0.00	0.00	0.00	0.00	0.01	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307293"	0.09	0.00	0.00	0.06	0.00	0.03	0.00	0.05	0.00	0.05	0.05	0.00	0.10	0.00	0.00
"FBtr0307294"	0.00	0.00	0.00	0.00	0.03	0.00	0.09	0.05	0.13	0.00	0.04	0.01	0.00	0.03	0.00
"FBtr0307295"	0.09	0.19	0.30	0.00	0.00	0.03	0.06	0.05	0.08	0.00	0.05	0.05	0.00	0.11	0.09
"FBtr0089420"	57.02	62.48	57.01	68.27	77.43	66.04	72.32	66.73	69.28	65.46	72.52	65.11	64.31	67.09	73.34
"FBtr0346440"	2.70	0.00	0.00	2.16	1.38	1.61	0.00	1.86	0.00	2.38	0.86	0.00	0.00	0.84	0.67
"FBtr0346441"	1.80	1.60	5.69	1.56	0.35	0.77	1.39	0.40	3.86	1.75	1.01	3.05	2.22	1.65	1.03
"FBtr0080344"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080345"	10.51	8.74	9.62	26.84	11.17	16.38	8.85	0.00	1.36	26.60	40.37	60.19	28.23	25.58	19.17
"FBtr0080347"	0.00	0.05	0.06	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
"FBtr0300567"	240.64	309.54	325.58	359.10	379.11	372.25	12.59	13.13	19.66	198.67	160.98	182.37	238.03	275.61	348.51
"FBtr0331644"	2.17	2.60	4.15	1.90	1.02	1.29	1.01	0.72	2.03	3.03	2.00	1.04	1.85	1.90	2.44
"FBtr0331645"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
"FBtr0331646"	100.01	131.94	143.92	96.05	104.23	87.93	11.55	4.64	7.86	80.63	78.87	74.70	76.19	95.05	95.05
"FBtr0331647"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00
"FBtr0331648"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331998"	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.02	1.50	1.05
"FBtr0075517"	183.85	180.66	169.59	200.50	204.39	204.89	196.29	217.70	200.77	183.04	202.23	188.33	190.02	184.74	199.45
"FBtr0076543"	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00
"FBtr0076544"	51.23	61.91	62.56	70.30	60.24	70.81	3.71	2.17	3.76	25.28	26.35	26.69	23.80	37.15	47.08
"FBtr0076545"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076546"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0112791"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331550"	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345030"	0.68	6.33	8.43	10.78	11.23	13.53	1.24	0.72	0.38	7.87	8.13	8.77	8.00	7.10	3.34
"FBtr0089988"	1.29	0.89	3.40	1.34	2.70	2.51	1.99	1.85	2.67	1.69	1.43	2.30	1.51	1.03	1.25
"FBtr0089989"	2.58	8.60	8.08	7.37	10.18	6.82	4.56	3.21	5.37	4.69	2.04	1.42	4.42	2.33	7.11
"FBtr0089990"	3.02	1.75	1.96	0.90	0.94	1.45	5.83	3.84	5.21	0.82	2.29	2.22	0.61	0.00	2.76
"FBtr0089991"	138.98	176.70	215.63	153.22	164.92	153.30	269.60	189.87	225.66	118.87	107.42	105.13	106.34	99.05	184.44
"FBtr0089992"	23.99	33.07	39.87	30.41	31.49	30.27	62.42	39.62	44.38	22.22	18.37	19.44	24.95	19.84	33.97
"FBtr0332583"	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.20
"FBtr0087702"	8.06	13.95	18.08	6.97	9.40	5.62	15.80	9.33	13.94	4.98	3.86	5.47	6.65	6.52	14.31
"FBtr0081030"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307350"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340229"	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.11	0.00
"FBtr0076599"	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.05	0.00
"FBtr0070075"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084659"	0.79	0.38	0.00	0.32	0.61	1.30	1.53	2.44	0.79	0.61	0.59	1.22	0.66	0.71	0.65
"FBtr0084660"	47.39	55.61	62.09	58.56	59.24	56.54	78.96	63.39	69.20	40.90	40.70	47.44	44.56	43.87	63.69
"FBtr0306171"	3.91	7.06	2.37	0.00	0.00	0.00	0.00	3.68	8.78	3.81	4.83	1.98	8.52	3.81	2.24
"FBtr0084692"	37.75	64.92	85.18	41.16	49.71	37.10	36.70	18.93	32.61	24.33	20.38	23.99	22.17	29.92	58.83
"FBtr0080165"	40.90	44.58	58.41	52.39	56.27	51.00	58.69	43.10	53.06	54.64	34.19	42.51	41.20	32.39	63.70
"FBtr0112793"	1.16	2.19	2.58	2.17	1.46	2.41	1.31	0.69	1.26	1.68	0.70	1.33	4.43	1.66	2.17
"FBtr0082483"	147.41	145.14	158.48	198.44	199.71	194.96	142.57	133.45	132.02	158.62	156.28	168.48	159.23	142.53	189.67
"FBtr0339146"	120.85	108.68	99.11	114.97	94.97	124.68	41.16	63.60	68.34	98.74	111.69	116.65	103.26	96.30	103.23
"FBtr0346150"	6.54	2.19	1.29	3.03	3.72	0.51	1.23	0.53	0.58	2.32	1.73	2.78	1.97	2.17	2.41
"FBtr0346611"	3877.33	3674.50	3673.74	3361.86	3123.86	3787.57	2043.63	2230.44	2373.60	3861.08	4688.96	4018.57	3508.18	3670.51	2628.09
"FBtr0074372"	18.17	20.80	23.70	25.72	24.41	24.12	9.13	6.65	9.39	15.97	18.21	20.98	16.38	15.01	21.73
"FBtr0080542"	0.04	0.00	0.10	0.08	0.09	0.00	0.00	0.00	0.16	0.10	0.00	0.00	0.03	0.00	0.00
"FBtr0309960"	0.00	0.13	0.00	0.00	0.00	0.19	0.08	0.17	0.00	0.00	0.33	0.21	0.00	0.17	0.03
"FBtr0342712"	0.04	0.00	0.10	0.08	0.09	0.00	0.00	0.00	0.16	0.10	0.00	0.00	0.03	0.00	0.00
"FBtr0072378"	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072379"	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300076"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084869"	66.55	77.42	76.70	68.20	70.11	65.08	41.00	37.67	41.13	44.39	48.41	54.50	50.93	58.49	64.24
"FBtr0074388"	9.06	15.17	19.33	4.99	7.26	3.66	17.31	9.92	14.83	5.13	3.89	4.43	5.39	7.79	15.37
"FBtr0111000"	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343763"	0.00	0.06	0.15	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343764"	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.02	0.02	0.05
"FBtr0081664"	31.00	24.16	24.21	38.10	36.50	31.33	1.23	0.87	1.51	27.80	26.75	28.22	23.10	21.20	17.94
"FBtr0081665"	62.71	67.52	97.18	91.33	94.31	74.03	2.77	1.71	1.84	57.85	57.87	61.11	68.02	45.83	84.80
"FBtr0081666"	2.08	1.28	1.18	0.73	1.75	1.58	0.00	0.00	0.00	0.64	1.73	0.00	0.85	0.00	0.00
"FBtr0081667"	3.41	1.22	2.81	5.03	5.85	7.12	0.00	0.31	0.35	2.72	3.07	3.10	4.19	3.16	4.72
"FBtr0081668"	30.38	25.44	30.26	32.41	31.70	34.05	1.58	0.00	0.88	20.42	23.02	26.33	22.30	14.67	30.45
"FBtr0073855"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300566"	549.14	569.52	530.54	667.45	680.94	682.52	746.96	756.15	699.36	585.49	569.87	563.54	550.74	541.04	639.60
