	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0070550"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.02
"FBtr0070461"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00
"FBtr0070355"	0.09	0.09	0.10	0.08	0.00	0.08	0.20	0.18	0.38	0.00	0.08	0.08	0.00	0.00	0.00
"FBtr0070356"	124.21	120.56	120.04	132.94	128.46	135.79	153.76	158.93	152.96	126.29	143.62	125.60	128.75	131.97	126.81
"FBtr0332581"	3.53	3.85	1.64	3.45	1.78	4.08	2.18	3.55	4.30	1.99	3.70	2.84	2.95	5.44	4.05
"FBtr0332582"	0.60	2.10	1.18	0.97	0.48	1.00	1.38	0.00	0.00	2.47	1.58	0.95	1.08	0.00	1.08
"FBtr0070301"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070295"	0.00	0.00	0.08	0.00	0.00	0.14	0.08	0.08	0.16	0.20	0.07	0.00	0.14	0.00	0.06
"FBtr0302877"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070219"	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.09	0.00	0.00
"FBtr0070222"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00
"FBtr0330317"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330318"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330319"	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330320"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0342735"	0.09	0.19	0.51	0.23	0.13	0.15	0.00	0.04	0.00	0.09	0.14	0.26	0.02	0.14	0.21
"FBtr0342736"	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.22
"FBtr0342737"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336688"	3.20	3.09	3.83	1.52	1.64	1.65	0.79	0.88	0.81	1.39	2.86	2.44	0.53	0.57	0.85
