	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0000003"	34.11	53.38	0.00	590.94	64.42	0.00	66.20	85.88	100.24	59.47	0.00	94.95
"FBgn0000008"	26.14	18.36	19.05	20.24	15.38	18.20	4.51	2.60	2.06	8.43	6.89	5.85
"FBgn0000014"	0.68	0.53	0.56	0.18	0.17	0.23	2.93	3.60	4.18	0.57	0.28	0.42
"FBgn0000015"	0.69	0.46	0.71	1.82	3.23	4.57	2.98	3.92	3.81	10.49	9.83	9.67
"FBgn0000017"	65.48	41.95	44.95	55.30	39.62	49.93	55.78	42.03	36.15	48.15	37.97	50.58
"FBgn0000018"	34.23	33.92	32.88	25.59	24.21	27.11	12.39	9.54	8.09	14.77	12.13	13.26
"FBgn0000022"	2.12	1.90	2.74	3.92	6.37	5.48	17.54	14.28	16.86	17.82	16.92	16.56
"FBgn0000024"	0.31	0.22	0.64	0.14	0.05	0.12	0.27	0.33	0.28	0.20	0.22	0.44
"FBgn0000028"	0.00	0.02	0.08	0.18	0.04	0.14	0.09	0.09	0.18	0.34	0.34	0.38
"FBgn0000032"	107.49	107.19	114.27	80.43	75.57	83.39	61.13	47.27	30.22	58.45	45.71	47.96
"FBgn0000036"	0.08	0.05	0.31	0.00	0.02	0.21	0.18	0.32	0.16	0.09	0.08	0.18
"FBgn0000037"	0.08	0.07	0.29	0.02	0.00	0.05	0.19	0.14	0.24	0.03	0.19	0.17
"FBgn0000038"	0.85	0.78	1.47	0.22	0.09	1.11	1.82	1.87	1.24	0.47	0.60	0.51
"FBgn0000039"	0.06	0.06	0.45	0.00	0.00	0.19	0.37	0.38	0.43	0.06	0.05	0.29
"FBgn0000042"	2438.81	2283.84	2279.88	2495.56	2344.35	2519.15	2817.23	2828.14	2814.06	2789.69	2605.60	2924.67
"FBgn0000043"	314.35	317.62	314.62	317.36	306.49	352.29	462.87	471.45	463.02	468.16	454.80	494.89
"FBgn0000044"	73.73	24.36	124.32	12.66	6.06	114.73	121.23	100.28	127.54	92.21	41.02	112.84
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.04	0.00	0.15	0.04	0.09
"FBgn0000046"	6.63	3.77	9.85	5.45	7.51	17.35	25.71	21.33	24.92	24.16	21.31	28.69
"FBgn0000047"	0.00	0.00	0.00	0.00	0.05	0.00	0.26	0.00	0.04	0.05	0.00	0.09
"FBgn0000052"	43.92	35.45	31.43	51.26	41.68	51.15	8.12	5.42	4.21	21.41	17.63	18.37
"FBgn0000053"	27.08	19.92	20.71	37.46	33.59	41.81	16.47	17.51	14.92	31.32	27.37	29.18
"FBgn0000055"	646.98	673.58	717.13	581.88	502.79	561.02	59.09	99.73	108.81	66.17	59.67	49.74
"FBgn0000056"	0.87	1.28	1.67	0.64	1.45	1.30	1.00	0.88	0.75	1.66	1.68	1.19
"FBgn0000057"	59.10	56.11	45.91	53.51	49.10	53.79	21.90	15.59	13.22	32.56	24.27	24.21
"FBgn0000061"	0.12	0.13	0.74	0.74	0.22	0.98	0.53	0.55	0.22	1.81	1.25	1.59
"FBgn0000063"	54.72	47.46	45.55	44.10	39.88	42.84	6.62	5.72	5.54	15.14	12.26	9.87
"FBgn0000064"	371.68	293.96	342.51	346.14	311.48	355.13	278.43	247.81	234.09	271.30	238.04	244.28
"FBgn0000071"	20.25	25.41	15.14	48.63	84.33	92.13	203.05	263.29	329.05	250.06	301.65	257.34
"FBgn0000075"	0.66	0.64	0.50	0.53	1.92	3.85	8.52	7.66	9.20	5.61	4.27	6.69
"FBgn0000077"	58.75	57.03	55.32	54.12	51.19	52.90	25.31	20.40	17.95	36.53	30.19	32.83
"FBgn0000078"	3.78	2.97	21.05	0.18	0.71	0.48	0.97	4.56	3.16	1.10	3.50	2.57
"FBgn0000079"	2.87	2.75	12.80	0.55	0.18	0.30	0.92	3.25	1.78	0.74	1.97	3.24
"FBgn0000083"	109.20	106.60	107.10	152.39	141.19	151.14	125.21	120.10	118.19	163.59	175.22	180.72
"FBgn0000084"	87.53	71.09	60.51	85.70	81.42	71.27	10.03	5.16	4.19	18.19	12.75	9.43
"FBgn0000092"	0.33	0.00	0.19	0.10	0.09	0.08	1.06	1.16	1.66	0.65	0.68	0.60
"FBgn0000094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000097"	63.86	48.53	51.67	47.54	41.58	53.90	43.00	44.02	41.29	55.79	52.24	53.59
"FBgn0000100"	2054.15	2052.79	2020.40	1983.99	1913.47	1868.99	2480.31	2582.23	2565.58	2124.47	1957.66	2143.82
"FBgn0000108"	1.26	0.88	2.44	0.92	0.43	1.47	1.51	1.88	1.46	0.98	0.75	1.01
"FBgn0000109"	58.06	62.58	61.91	57.63	67.57	57.08	68.57	69.73	66.62	67.27	74.38	70.52
"FBgn0000114"	803.37	702.96	698.56	727.10	673.64	721.34	43.47	21.58	14.97	146.78	116.73	66.89
"FBgn0000115"	124.29	137.36	128.24	131.21	130.02	136.84	133.71	130.37	121.69	147.81	136.62	131.66
"FBgn0000116"	50.38	62.73	58.20	229.52	172.07	206.39	16.02	24.12	29.41	56.26	47.08	34.91
"FBgn0000117"	343.75	299.95	278.62	331.78	278.95	364.42	571.97	574.15	587.73	509.51	476.40	547.82
"FBgn0000119"	25.06	18.30	20.80	20.63	17.39	21.80	21.50	16.68	15.12	24.18	20.63	25.47
"FBgn0000120"	0.27	0.18	0.83	0.00	0.00	0.12	0.46	0.56	0.47	0.00	0.04	0.00
"FBgn0000121"	0.20	0.00	0.18	0.06	0.15	0.20	0.27	0.14	0.30	1.13	1.16	0.72
"FBgn0000137"	0.15	0.18	0.14	0.83	1.06	2.12	1.12	2.07	2.53	4.15	3.45	3.67
"FBgn0000139"	61.60	58.34	59.05	60.05	61.30	60.16	92.66	88.02	86.49	76.93	79.33	82.03
"FBgn0000140"	110.87	87.35	91.09	90.03	72.07	94.41	39.19	31.91	30.72	36.61	37.52	36.70
"FBgn0000146"	68.28	64.68	68.61	49.42	45.41	51.79	69.25	60.99	48.72	47.18	41.78	50.77
"FBgn0000147"	133.35	143.33	135.26	119.13	108.53	119.82	49.04	35.00	30.64	60.33	56.46	49.84
"FBgn0000150"	3948.85	4116.88	4232.54	4448.33	4532.51	3952.76	2865.30	2882.09	2763.19	3094.12	2962.92	2925.59
"FBgn0000152"	24.75	23.14	20.16	21.13	18.69	20.20	9.03	7.58	7.06	12.67	10.97	10.68
"FBgn0000153"	0.33	0.11	0.20	0.56	0.33	0.30	0.07	0.20	0.12	0.25	0.19	0.03
"FBgn0000157"	0.23	0.37	0.14	0.64	0.98	1.16	1.73	2.44	2.81	3.56	3.40	3.35
"FBgn0000158"	55.75	65.83	58.45	133.84	128.35	153.26	22.68	15.98	11.98	82.29	81.63	73.50
"FBgn0000163"	31.27	20.92	23.26	26.98	21.32	26.83	28.77	22.19	19.51	28.21	23.16	29.92
"FBgn0000166"	132.39	118.28	119.42	119.29	108.05	112.71	91.19	61.39	42.28	93.41	72.74	75.02
"FBgn0000173"	443.14	433.38	447.12	456.65	472.69	445.29	557.61	557.18	540.55	507.67	527.41	564.62
"FBgn0000179"	0.06	0.04	0.12	0.29	0.09	0.60	0.26	0.30	0.33	1.51	0.82	0.99
"FBgn0000180"	8.40	8.22	5.88	10.48	18.35	23.73	101.36	112.78	122.05	77.04	84.65	97.52
"FBgn0000181"	1534.01	1489.65	1358.69	1609.76	1433.58	1559.96	1087.91	1028.16	1111.64	1311.71	1268.19	1181.59
"FBgn0000182"	328.80	262.82	258.64	364.65	301.29	318.29	3.11	1.51	1.38	22.32	23.91	11.82
"FBgn0000183"	128.26	110.62	110.67	95.82	80.91	93.88	58.33	40.89	30.95	64.30	45.95	51.87
"FBgn0000206"	0.02	0.00	0.00	0.03	0.00	0.12	0.03	0.00	0.00	0.12	0.00	0.04
"FBgn0000212"	119.61	79.84	83.78	110.74	100.13	117.61	148.38	132.53	129.52	142.82	133.84	157.46
"FBgn0000216"	21.60	23.12	23.01	51.65	91.36	88.95	184.49	240.05	286.60	237.53	290.48	235.90
"FBgn0000221"	24.98	26.67	21.23	27.39	25.08	27.44	23.38	19.23	16.07	22.54	19.92	21.24
"FBgn0000227"	36.07	37.38	48.25	41.29	65.06	50.79	657.00	662.60	638.35	437.81	388.20	510.90
"FBgn0000228"	105.36	75.14	76.87	88.37	100.18	102.33	598.29	581.92	557.89	315.24	324.05	417.58
"FBgn0000229"	13.53	16.25	17.86	19.68	24.70	24.61	16.25	22.05	21.83	33.19	29.22	28.93
"FBgn0000233"	0.65	1.16	0.81	0.74	2.19	2.61	10.46	9.96	10.73	9.26	9.09	10.18
"FBgn0000239"	188.62	172.36	174.08	157.84	144.59	154.13	194.81	160.33	129.69	159.65	131.79	164.72
"FBgn0000241"	0.05	0.24	0.03	0.10	0.06	0.49	0.09	0.14	0.15	0.76	0.65	0.64
"FBgn0000244"	4.76	3.54	5.23	1.31	1.22	1.83	3.86	3.25	2.82	1.04	0.81	1.57
"FBgn0000246"	34.62	36.68	42.14	15.79	15.45	16.02	34.25	28.96	23.66	16.61	16.34	17.83
"FBgn0000247"	26.84	20.70	18.90	22.73	15.88	22.66	1.98	1.76	1.69	4.64	4.07	3.07
"FBgn0000250"	474.72	419.16	424.55	413.54	394.84	402.07	557.71	519.29	484.22	456.90	414.39	476.33
"FBgn0000251"	231.93	195.17	187.43	199.82	178.82	187.48	93.72	68.24	52.10	102.41	72.27	74.07
"FBgn0000253"	900.51	860.61	984.54	1018.15	1138.26	1020.71	1195.83	1238.37	1211.65	1236.03	1275.24	1266.72
"FBgn0000256"	28.09	22.80	22.65	20.95	18.34	20.85	2.63	1.45	1.04	7.35	4.93	5.20
"FBgn0000257"	36.14	29.82	26.56	38.12	31.52	32.57	16.87	13.45	12.80	20.74	18.08	16.81
"FBgn0000259"	214.62	229.83	216.12	208.78	184.78	205.99	44.44	38.55	38.97	67.56	64.37	52.76
"FBgn0000261"	46.17	41.42	53.25	43.58	43.84	48.68	75.06	68.00	67.91	61.51	56.61	66.02
"FBgn0000273"	53.43	43.41	49.68	49.12	46.22	51.81	68.48	60.35	53.74	58.44	53.67	62.51
"FBgn0000274"	1.09	1.30	1.23	2.21	1.27	2.09	1.12	0.49	0.61	1.21	1.10	1.96
"FBgn0000276"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.43
"FBgn0000277"	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.65	0.00
"FBgn0000278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.45	0.00
"FBgn0000279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00
"FBgn0000280"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000281"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000283"	199.99	144.04	151.05	171.86	157.33	186.26	259.46	230.48	209.63	218.77	197.28	239.29
"FBgn0000286"	42.06	34.30	33.91	37.04	29.14	35.42	1.83	2.06	2.22	5.16	4.85	3.44
"FBgn0000287"	0.11	0.03	0.25	0.04	0.04	0.37	0.24	0.25	0.15	0.55	0.30	0.36
"FBgn0000289"	165.08	131.89	134.33	159.64	136.23	155.98	118.23	100.62	84.26	127.34	96.63	106.35
"FBgn0000299"	3.14	1.31	7.12	0.33	0.07	7.57	12.86	8.79	11.39	8.03	1.98	12.93
"FBgn0000303"	0.23	0.09	0.58	0.02	0.00	0.19	0.41	0.57	0.44	0.06	0.06	0.13
"FBgn0000307"	76.73	58.26	67.37	63.87	52.04	66.37	74.91	58.46	46.83	66.17	53.19	66.73
"FBgn0000308"	637.06	685.48	721.28	726.10	788.68	773.70	998.73	1023.44	1046.95	1022.31	1024.70	1072.45
"FBgn0000316"	118.78	133.12	134.63	112.48	114.82	117.95	184.86	185.93	165.39	147.82	152.19	172.74
"FBgn0000317"	34.99	27.60	31.10	31.46	26.27	33.16	38.35	30.69	21.80	34.19	27.54	38.53
"FBgn0000318"	461.55	468.99	485.58	408.75	411.71	380.46	555.64	578.39	592.31	443.33	444.68	446.12
"FBgn0000319"	125.21	96.72	105.12	114.24	97.96	131.38	126.10	118.05	103.60	124.78	110.97	143.40
"FBgn0000320"	0.53	0.46	0.39	1.26	2.24	2.70	4.91	5.52	6.53	8.30	6.38	6.04
"FBgn0000326"	30.33	30.70	30.11	25.32	27.95	24.23	42.83	40.25	34.72	29.65	28.61	31.17
"FBgn0000330"	62.67	62.73	66.80	56.96	58.78	56.34	70.31	67.30	51.55	64.98	56.01	54.79
"FBgn0000337"	0.54	0.64	0.69	3.19	2.36	4.58	1.98	2.95	3.23	10.90	15.90	9.78
"FBgn0000339"	82.45	102.71	96.67	96.87	100.92	94.88	117.12	130.25	123.48	129.10	138.37	134.03
"FBgn0000346"	9.23	9.93	8.17	3.99	2.51	3.24	7.03	5.07	4.58	2.80	2.42	2.33
"FBgn0000351"	89.75	98.14	80.92	74.93	59.73	66.48	1.48	1.81	1.43	5.45	4.74	3.59
"FBgn0000352"	60.76	45.54	44.86	45.42	37.02	49.90	71.78	60.81	57.22	52.91	47.46	59.44
"FBgn0000355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.19
"FBgn0000356"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000357"	0.00	0.15	0.17	0.00	0.15	0.15	0.96	1.69	1.05	0.89	0.11	0.68
"FBgn0000358"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000359"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000360"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
"FBgn0000370"	184.64	194.93	210.06	140.60	135.40	161.52	277.44	288.46	276.46	187.42	185.12	199.58
"FBgn0000376"	117.81	94.40	91.76	93.62	74.80	86.47	69.68	46.96	38.32	64.46	48.41	55.24
"FBgn0000377"	66.86	52.37	51.20	61.05	59.78	64.56	100.32	92.77	95.95	85.62	85.62	87.75
"FBgn0000382"	69.62	52.44	59.91	52.18	48.35	58.22	45.02	28.66	20.65	38.36	33.17	37.10
"FBgn0000384"	113.28	125.92	136.85	102.76	111.46	105.90	127.84	112.16	85.33	107.97	94.72	100.50
"FBgn0000392"	168.00	133.20	131.73	146.31	110.95	143.57	37.97	26.49	19.65	69.64	50.29	55.93
"FBgn0000394"	11.75	11.81	9.51	24.87	19.98	23.93	9.83	10.02	13.34	20.15	19.06	18.45
"FBgn0000395"	1.28	0.82	0.55	1.00	1.18	2.21	10.22	10.66	13.72	4.87	5.70	6.45
"FBgn0000404"	1222.76	1160.79	1136.16	1014.74	974.81	1071.96	770.40	630.70	563.36	739.63	658.65	697.22
"FBgn0000405"	2267.97	2058.91	2083.78	2059.47	1810.07	2109.86	1056.83	769.74	628.86	1309.32	1097.48	1168.05
"FBgn0000406"	6.73	5.00	22.89	2.83	2.25	4.39	6.06	10.72	10.30	9.01	14.56	7.41
"FBgn0000411"	12.83	13.27	10.90	13.41	24.43	24.02	201.28	205.37	199.39	111.08	123.58	154.21
"FBgn0000412"	386.82	324.14	308.08	421.75	467.38	475.38	725.62	683.88	794.23	629.90	667.45	702.98
"FBgn0000414"	36.17	24.73	27.22	27.09	21.20	27.74	28.32	21.55	19.93	23.55	20.34	24.91
"FBgn0000416"	381.16	310.89	330.00	327.10	307.77	361.22	411.60	385.33	355.94	387.80	366.31	423.28
"FBgn0000422"	0.27	0.12	0.46	0.05	0.00	1.03	0.79	0.73	0.67	0.42	0.15	1.94
"FBgn0000426"	342.10	406.13	388.29	390.61	423.94	384.92	463.65	474.27	501.53	483.24	536.41	488.64
"FBgn0000427"	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.03	0.09
"FBgn0000439"	0.39	0.35	0.34	0.67	1.20	1.95	3.77	4.33	5.64	4.61	5.77	5.45
"FBgn0000442"	0.08	0.06	0.26	0.04	0.00	0.29	0.24	0.34	0.44	0.14	0.21	0.43
"FBgn0000447"	100.08	90.07	84.14	104.41	99.12	103.26	107.61	94.53	91.20	108.88	112.87	114.29
"FBgn0000448"	0.44	0.30	0.49	0.68	0.26	1.85	0.31	0.12	0.11	1.85	1.39	0.98
"FBgn0000449"	1.75	1.76	1.38	1.38	5.20	3.75	20.52	27.69	32.31	15.87	24.00	24.73
"FBgn0000451"	0.14	0.00	0.04	0.05	0.04	8.87	2.94	0.84	2.20	12.58	8.44	6.71
"FBgn0000454"	255.87	255.63	205.89	257.64	220.35	253.62	13.29	11.10	8.34	41.12	35.16	24.97
"FBgn0000455"	43.39	40.93	34.79	46.84	46.39	46.86	48.80	42.17	38.20	49.61	48.69	49.59
"FBgn0000459"	0.61	0.67	0.75	1.14	1.44	2.81	7.90	7.98	10.79	7.90	8.09	8.83
"FBgn0000463"	80.66	56.67	55.00	66.04	60.83	72.09	109.53	100.47	102.40	88.39	85.89	95.93
"FBgn0000464"	20.17	14.92	15.97	11.61	9.54	13.30	19.41	15.75	11.78	11.85	9.05	13.80
"FBgn0000473"	0.04	0.09	0.16	0.11	0.09	0.09	0.10	0.51	0.12	0.18	0.03	0.49
"FBgn0000477"	3.22	4.03	4.29	4.95	7.28	9.64	25.25	28.23	35.95	22.20	20.61	20.76
"FBgn0000479"	48.77	41.93	39.89	52.46	49.45	53.66	29.36	21.79	16.24	39.40	28.97	30.40
"FBgn0000482"	24.80	20.46	21.43	23.67	20.28	23.87	24.81	20.67	18.30	24.07	23.32	23.84
"FBgn0000489"	1.54	1.62	1.66	0.55	5.55	4.45	27.43	32.45	38.54	17.09	29.82	29.04
"FBgn0000490"	0.98	0.96	0.93	1.64	2.55	3.88	16.29	16.47	18.61	10.06	10.64	13.82
"FBgn0000492"	0.51	0.40	0.20	1.62	1.71	2.54	2.71	2.60	4.06	6.77	6.20	6.45
"FBgn0000499"	86.93	76.12	72.10	78.93	70.99	76.46	95.43	79.44	68.64	84.48	72.46	79.08
"FBgn0000500"	0.00	0.19	0.85	0.00	0.00	0.38	0.20	0.51	0.64	0.00	0.14	0.00
"FBgn0000504"	0.04	0.04	0.00	0.01	0.00	0.09	0.09	0.16	0.08	0.08	0.08	0.09
"FBgn0000520"	45.50	37.79	33.91	50.92	40.61	47.22	19.97	17.07	17.34	39.74	32.80	33.35
"FBgn0000524"	89.03	71.63	67.80	77.71	59.83	76.14	13.45	9.22	8.95	22.74	18.46	15.44
"FBgn0000527"	0.02	0.02	0.08	0.06	0.05	0.30	0.15	0.00	0.06	0.09	0.02	0.04
"FBgn0000529"	0.00	0.00	0.00	0.00	0.04	0.05	0.00	0.05	0.00	0.00	0.06	0.00
"FBgn0000533"	95.98	85.96	90.26	97.39	90.50	90.67	105.73	102.15	86.94	95.35	94.72	106.47
"FBgn0000535"	0.03	0.00	0.10	0.03	0.01	0.02	0.17	0.12	0.08	0.06	0.09	0.14
"FBgn0000536"	52.69	57.67	57.31	46.12	44.50	45.88	38.80	32.87	25.08	40.33	33.92	36.82
"FBgn0000541"	139.20	110.76	129.28	99.28	85.99	106.87	82.59	64.82	49.46	71.03	59.57	69.78
"FBgn0000542"	1.53	1.18	0.58	2.14	2.22	4.22	16.02	16.64	18.14	13.17	13.32	16.41
"FBgn0000543"	54.31	45.17	41.28	47.54	40.13	44.47	23.02	21.36	21.80	27.85	27.25	27.92
"FBgn0000546"	54.20	43.39	44.45	45.72	41.03	42.53	50.54	40.43	31.72	45.34	34.84	44.06
"FBgn0000547"	90.55	63.10	68.55	75.33	63.60	85.16	119.25	99.27	93.16	102.86	89.83	113.59
"FBgn0000551"	0.00	0.40	0.00	0.00	0.20	2.00	1.67	0.73	1.37	1.34	0.59	2.10
"FBgn0000552"	0.00	0.00	0.00	0.00	0.00	0.15	0.16	0.14	0.00	0.29	0.00	0.00
"FBgn0000557"	0.36	0.23	0.36	0.14	0.87	0.92	2.71	3.06	3.95	2.35	1.91	3.34
"FBgn0000559"	2505.95	2285.42	2408.69	2694.71	2687.20	2848.98	3271.05	3164.13	2848.94	3305.39	3225.91	3606.38
"FBgn0000560"	0.00	0.04	0.00	0.14	0.13	0.16	0.09	0.00	0.05	0.33	0.19	0.24
"FBgn0000562"	66.50	53.82	53.32	62.95	51.44	60.51	7.82	4.02	2.42	16.46	12.30	10.39
"FBgn0000564"	0.27	0.27	0.16	0.00	0.00	0.00	0.29	0.25	0.00	0.27	0.00	0.24
"FBgn0000565"	47.31	53.24	48.59	52.75	52.00	49.30	48.70	54.27	61.90	34.77	47.88	37.87
"FBgn0000566"	148.44	145.49	147.22	165.03	157.70	163.35	159.23	152.09	139.09	183.62	176.54	183.79
"FBgn0000567"	0.03	0.07	0.04	0.09	0.07	0.32	0.19	0.03	0.03	0.27	0.09	0.16
"FBgn0000568"	12.38	8.93	9.68	18.46	12.65	13.67	2.18	2.11	1.79	5.85	4.85	4.45
"FBgn0000575"	44.77	42.80	46.57	46.19	54.00	66.81	94.75	106.17	120.82	110.22	120.52	127.83
"FBgn0000576"	0.84	0.74	0.69	1.59	3.84	4.01	11.02	14.40	13.09	11.58	11.80	13.48
"FBgn0000577"	1.55	1.59	0.84	2.84	3.53	6.42	8.43	10.04	13.58	14.30	15.77	14.71
"FBgn0000578"	53.20	37.88	39.04	48.60	41.08	49.82	72.11	61.24	63.72	62.77	55.69	67.03
"FBgn0000579"	1216.68	1064.38	992.65	1107.91	896.80	1004.15	168.73	121.45	100.44	326.51	232.34	180.25
"FBgn0000581"	83.45	53.35	58.96	64.53	47.85	63.26	43.94	34.86	31.91	48.28	41.45	49.54
"FBgn0000588"	126.87	117.39	111.71	101.64	98.93	102.92	40.46	33.61	37.00	59.89	52.92	46.47
"FBgn0000591"	1.75	1.68	1.24	7.50	8.25	12.49	13.16	16.15	18.30	28.99	30.70	26.79
"FBgn0000592"	0.04	0.04	0.43	0.17	0.00	0.09	0.14	0.29	0.58	0.04	0.30	0.00
"FBgn0000594"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBgn0000606"	4.83	3.89	4.31	4.99	11.67	12.43	68.73	78.46	85.53	48.54	51.84	70.18
"FBgn0000611"	141.70	131.81	138.47	124.26	123.51	138.68	210.64	211.15	208.44	188.06	185.03	204.97
"FBgn0000615"	581.57	608.19	536.92	543.34	485.29	515.38	9.12	6.19	4.56	31.75	31.90	19.20
"FBgn0000617"	71.78	65.78	57.29	83.54	82.53	85.65	121.04	113.75	130.48	111.58	117.28	123.28
"FBgn0000618"	95.10	107.07	113.31	96.59	106.50	95.69	123.16	130.38	148.73	116.24	125.06	121.60
"FBgn0000625"	0.16	0.00	0.10	0.40	0.27	0.65	0.06	0.15	0.22	1.69	1.41	1.53
"FBgn0000629"	60.24	61.47	45.36	56.95	47.65	56.66	16.61	20.65	24.34	19.62	24.03	20.98
"FBgn0000633"	0.14	0.10	0.29	0.36	0.38	0.86	0.54	0.67	0.57	1.50	1.35	1.75
"FBgn0000635"	1.68	0.81	3.12	5.24	3.24	8.60	5.53	6.67	6.08	17.06	13.30	15.31
"FBgn0000636"	0.36	0.35	1.03	7.58	2.88	15.23	3.30	2.04	1.64	21.20	14.28	17.96
"FBgn0000639"	0.00	0.02	0.00	0.03	0.00	0.02	0.00	0.00	0.04	0.06	0.05	0.08
"FBgn0000640"	0.00	0.00	0.00	0.13	0.00	0.00	0.32	0.09	0.26	0.20	0.45	0.64
"FBgn0000644"	0.09	0.18	0.21	0.00	0.00	0.18	0.09	0.33	0.15	0.35	0.26	0.16
"FBgn0000658"	1.22	1.23	1.48	5.21	4.34	8.13	13.35	15.93	20.19	18.78	18.97	18.71
"FBgn0000659"	1.63	1.74	1.41	2.20	4.10	5.47	19.69	21.78	25.47	17.44	20.26	21.79
"FBgn0000662"	113.65	90.95	91.34	121.08	100.85	120.23	117.14	105.63	98.11	132.15	111.51	124.41
"FBgn0000667"	98.10	73.24	71.31	65.79	52.00	68.88	56.04	43.85	40.37	46.67	35.93	41.63
"FBgn0000709"	55.47	42.12	45.24	46.76	41.24	47.49	29.20	21.89	19.31	32.48	27.18	28.43
"FBgn0000711"	55.24	53.44	58.23	48.81	52.75	48.99	64.61	61.22	50.83	55.71	50.27	54.74
"FBgn0000715"	0.32	0.06	0.26	0.00	0.06	0.06	0.06	0.26	0.14	0.05	0.04	0.10
"FBgn0000719"	50.55	42.23	41.74	43.38	36.58	44.49	20.03	14.67	12.83	24.77	19.93	18.83
"FBgn0000721"	253.65	211.39	209.14	206.68	172.87	211.68	282.15	241.27	201.73	212.03	181.07	222.86
"FBgn0000723"	1.35	1.70	1.82	1.22	1.84	4.18	10.81	13.54	17.32	9.45	11.26	12.25
"FBgn0000808"	12.72	13.21	10.02	10.45	9.33	10.49	3.29	2.25	1.69	4.74	3.28	3.39
"FBgn0000810"	35.02	28.32	29.08	34.26	30.73	35.97	45.78	40.20	35.18	38.78	38.04	44.98
"FBgn0000826"	188.65	195.11	153.18	125.54	111.47	105.20	11.54	5.76	6.66	13.83	11.16	8.05
"FBgn0000927"	264.19	234.45	188.04	281.01	218.46	252.72	4.11	2.55	1.83	21.02	18.53	9.90
"FBgn0000928"	0.26	0.14	0.07	0.10	0.34	0.27	0.39	0.34	0.21	0.38	0.50	0.42
"FBgn0000964"	0.08	0.02	0.12	0.03	0.00	0.08	0.07	0.00	0.05	0.04	0.02	0.04
"FBgn0000996"	283.13	245.83	244.18	217.15	180.80	207.46	245.14	207.95	180.40	175.48	157.51	156.18
"FBgn0001075"	0.27	0.27	0.31	1.54	0.93	2.32	1.96	2.35	2.40	4.92	4.28	4.89
"FBgn0001077"	5.38	5.47	4.31	4.84	14.29	12.48	66.94	76.94	91.04	50.25	65.31	74.53
"FBgn0001078"	106.91	84.55	91.87	84.61	75.13	89.32	93.16	68.51	53.99	79.79	62.65	77.75
"FBgn0001079"	57.02	49.07	47.57	43.72	38.75	42.14	62.84	56.30	48.29	45.74	42.35	49.70
"FBgn0001083"	0.00	0.05	0.11	0.13	0.00	0.53	0.43	0.30	0.41	0.58	0.75	0.84
"FBgn0001084"	32.23	34.28	30.19	33.29	28.17	28.48	16.99	13.75	15.44	19.37	18.67	18.89
"FBgn0001085"	58.99	58.44	62.12	56.86	59.76	63.53	63.18	50.48	37.42	65.31	58.21	66.81
"FBgn0001086"	257.22	237.59	243.95	226.22	242.24	245.02	343.74	336.45	330.03	317.62	306.20	330.20
"FBgn0001087"	73.73	56.61	57.88	62.16	51.56	61.97	44.73	33.23	27.36	44.50	35.59	36.17
"FBgn0001089"	0.46	0.32	2.35	0.28	0.23	0.58	0.33	1.17	0.95	1.29	1.43	1.27
"FBgn0001090"	69.35	61.87	42.74	77.16	120.20	164.40	803.39	863.03	1067.19	592.03	699.39	717.12
"FBgn0001091"	921.49	898.71	807.17	795.01	686.16	740.66	116.83	104.41	91.67	206.06	173.33	141.63
"FBgn0001092"	1814.09	1882.27	1712.14	1751.50	1412.77	1616.75	39.63	57.59	56.29	119.64	113.73	61.23
"FBgn0001098"	275.79	239.81	269.34	231.61	213.11	231.62	284.79	274.41	244.43	212.94	178.90	195.36
