	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0085419"	0.08	0.03	0.34	0.02	0.00	0.05	0.10	0.22	0.19	0.02	0.06	0.07
"FBgn0085420"	0.03	0.01	0.22	0.00	0.00	0.04	0.05	0.18	0.11	0.04	0.00	0.03
"FBgn0085421"	2.79	3.77	3.99	0.45	0.28	1.01	1.10	1.00	0.87	1.14	1.35	0.99
"FBgn0085422"	0.00	0.00	0.28	0.00	0.06	0.06	0.06	0.05	0.21	0.29	0.18	0.19
"FBgn0085423"	37.81	29.56	30.36	27.41	23.63	26.52	9.01	6.75	5.44	13.75	10.43	10.09
"FBgn0085424"	1.21	1.80	1.66	2.12	3.96	5.88	17.92	19.97	23.12	14.50	11.28	10.46
"FBgn0085425"	0.12	0.06	0.18	0.31	0.51	0.83	1.30	1.12	1.63	2.03	2.01	2.22
"FBgn0085426"	0.06	0.00	0.21	0.04	0.06	0.29	0.29	0.13	0.38	0.09	0.09	0.21
"FBgn0085427"	0.02	0.01	0.11	0.05	0.04	0.52	0.22	0.15	0.05	0.34	0.16	0.33
"FBgn0085428"	0.04	0.02	0.16	0.00	0.00	0.20	0.13	0.07	0.10	0.13	0.07	0.13
"FBgn0085430"	36.93	22.60	24.56	33.45	22.35	31.23	10.98	10.34	11.46	17.24	14.42	15.54
"FBgn0085431"	0.00	0.04	0.13	0.00	0.04	0.00	0.16	0.17	0.07	0.04	0.00	0.16
"FBgn0085432"	7.53	7.36	9.19	5.01	6.01	6.80	14.10	15.24	15.25	10.24	11.49	14.89
"FBgn0085433"	4.82	5.54	5.10	3.80	3.85	4.61	8.08	7.37	8.18	5.57	5.51	6.20
"FBgn0085434"	1.24	0.96	1.26	0.93	0.69	0.77	1.21	1.21	0.96	1.14	1.26	1.11
"FBgn0085436"	113.77	80.66	99.74	85.99	73.57	90.34	100.71	80.62	65.04	80.62	70.69	91.51
"FBgn0085437"	35.96	28.15	28.62	30.06	27.10	32.36	9.65	8.36	8.01	14.35	12.98	10.63
"FBgn0085438"	0.40	0.17	0.00	0.42	0.24	0.34	0.68	1.03	0.84	0.76	1.21	1.12
"FBgn0085440"	0.02	0.00	0.03	0.06	0.00	0.08	0.11	0.02	0.07	0.17	0.19	0.23
"FBgn0085442"	71.97	64.65	58.90	70.94	62.38	76.32	16.16	21.50	23.33	31.65	30.69	28.93
"FBgn0085443"	46.34	36.62	33.33	44.27	39.55	48.21	60.29	56.79	51.67	39.63	35.20	46.88
"FBgn0085444"	92.95	86.37	90.44	71.74	64.99	73.33	17.80	18.57	17.90	28.91	24.71	22.36
"FBgn0085446"	1.25	0.92	2.43	0.68	0.26	2.44	1.25	1.56	1.40	1.59	1.61	2.12
