	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0263329"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263330"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263331"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263332"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263333"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263334"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263335"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263336"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263338"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263339"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263340"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263341"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263342"	1.00	0.00	1.00	0.00	0.00	3.00	2.00	2.00	1.00	1.00	0.00	1.00	1.00	0.00	0.00
"FBgn0263343"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263344"	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	2.00	1.00
"FBgn0263345"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
"FBgn0263346"	671.00	1461.00	1765.00	930.00	1202.00	716.00	1097.00	577.00	937.00	484.00	317.00	521.00	236.00	284.00	572.00
"FBgn0263351"	1440.00	1750.00	1427.00	2042.00	2068.00	2012.00	76.00	81.00	81.00	1331.00	1234.00	1449.00	1618.00	1949.00	2301.00
"FBgn0263352"	1393.00	3318.00	2252.00	2497.00	3578.00	1914.00	3026.00	2141.00	2839.00	1237.00	849.00	1051.00	1580.00	2737.00	7649.00
"FBgn0263353"	5.00	3.00	5.00	3.00	0.00	4.00	0.00	0.00	0.00	8.00	4.00	7.00	14.00	8.00	11.00
"FBgn0263354"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263355"	1066.87	1393.97	1400.66	1094.42	1486.13	1033.43	417.95	279.52	389.12	1088.01	1126.50	1266.73	1231.11	1529.35	1716.26
"FBgn0263376"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263377"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263378"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
"FBgn0263379"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263380"	1.00	3.00	1.00	7.00	5.00	22.00	6.00	20.00	10.00	4.00	3.00	3.00	11.00	4.00	2.00
