	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0081624"	0.00	33.00	39.00	101.00	85.00	83.00	78.00	35.50	44.50	46.00	59.50	50.00	45.50	91.00	39.00
"FBtr0071763"	89.92	160.42	174.35	88.37	151.35	116.69	14.83	44.47	60.02	52.82	44.58	82.20	121.97	129.46	289.97
"FBtr0071764"	6.24	23.41	25.13	12.05	18.73	12.43	6.14	10.74	23.30	0.00	16.15	10.60	11.62	5.71	36.58
"FBtr0100521"	313.96	417.44	599.52	423.21	559.10	425.94	170.02	42.93	62.97	245.17	180.27	185.20	211.41	370.83	538.01
"FBtr0342981"	10.87	44.73	0.00	55.37	27.82	8.94	0.00	6.86	12.71	0.00	0.00	0.00	33.00	0.00	37.43
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083388"	0.00	0.00	1.00	1.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300485"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083381"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083382"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083384"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415463"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415465"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075357"	300.80	656.71	1085.98	179.51	96.75	116.31	387.95	649.15	1084.04	348.85	245.08	283.95	398.82	502.47	897.82
"FBtr0112790"	161.82	296.71	327.08	164.14	324.08	0.00	0.19	364.38	442.20	67.16	63.20	127.42	175.87	311.81	463.56
"FBtr0330130"	0.00	107.75	14.57	32.43	37.99	29.83	0.96	54.91	85.95	0.33	23.00	32.24	0.00	0.00	4.38
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.50	0.00	0.02	0.00	0.00	0.00	0.01	8.81	0.00	0.00	52.03	37.68	1.18
"FBtr0330133"	11.29	7.04	53.75	0.00	0.14	0.00	161.19	1.04	36.78	0.00	0.00	0.00	0.00	0.00	175.03
"FBtr0330134"	25.66	94.86	0.03	0.00	0.02	0.00	50.04	0.02	0.26	0.00	0.00	0.00	7.83	0.00	0.01
"FBtr0330135"	391.11	671.40	707.36	209.61	262.95	82.40	770.70	530.84	625.89	204.06	129.66	165.51	216.70	228.61	826.22
"FBtr0330136"	29.11	137.50	192.71	0.00	296.03	0.00	975.83	60.37	144.86	0.00	0.00	0.00	0.00	19.44	18.27
"FBtr0345369"	1.22	0.02	4.01	49.32	0.00	157.46	410.14	0.30	0.02	121.79	94.05	80.87	11.75	0.00	0.53
"FBtr0080168"	524.00	641.00	539.00	863.00	915.00	771.00	375.00	359.00	386.00	667.00	524.00	709.00	832.00	736.00	922.00
"FBtr0070072"	8.00	8.00	3.00	10.00	12.00	10.00	11.00	5.00	10.00	17.00	7.00	18.00	42.00	11.00	25.00
"FBtr0082780"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300486"	0.00	0.00	0.00	0.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0335223"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
"FBtr0074015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290063"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305189"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305190"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305191"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305192"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305194"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305195"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305196"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085609"	3936.57	4846.13	4288.62	5349.01	6040.33	5087.26	3688.60	3218.21	3357.50	4580.97	4022.42	4604.18	4382.42	3911.07	6018.53
"FBtr0085610"	53.43	100.87	89.38	117.99	125.67	63.74	34.40	16.79	87.50	122.03	18.58	116.82	151.58	160.93	75.47
"FBtr0084619"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.50	0.00	0.00	0.00
"FBtr0330310"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.50	0.00	0.00	0.00
"FBtr0334916"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072367"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073299"	0.00	1.00	0.00	2.00	0.00	0.00	2.00	1.00	2.00	2.00	0.00	3.00	6.00	6.00	10.00
"FBtr0073300"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084639"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084640"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070822"	62.50	1219.16	4969.02	22043.79	24755.25	26742.75	2411.49	22.25	0.00	0.00	4272.77	1664.48	159.28	493.84	1563.60
"FBtr0070823"	11571.79	15373.52	15787.57	16756.27	19185.04	17688.75	21363.24	22293.62	21148.49	13474.09	15518.35	14468.97	13410.50	11502.65	19170.11
"FBtr0100662"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100663"	26300.71	33658.32	29188.41	15423.94	15119.70	10393.50	45394.27	39087.13	45298.51	24550.91	19814.88	26733.55	29064.22	24974.51	43567.29
"FBtr0345894"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086029"	4255.00	5089.00	5162.00	6309.00	6937.00	6238.00	7118.00	6329.00	6517.00	4594.00	4478.00	4667.00	5024.00	4061.00	7205.00
"FBtr0071519"	4.00	3.00	2.00	10.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	3.00	3.00	2.00	12.00
"FBtr0078478"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
"FBtr0334090"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0082785"	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
"FBtr0082786"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346242"	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083143"	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00
"FBtr0079219"	0.00	967.13	835.35	1258.32	1346.65	1131.53	271.89	0.01	291.92	354.29	213.41	809.85	638.73	163.19	938.32
"FBtr0079220"	175.83	395.58	314.96	193.68	198.87	276.47	53.11	0.00	39.59	170.70	266.07	39.82	185.88	348.82	490.68
"FBtr0079221"	820.16	99.29	476.69	0.00	0.49	0.00	0.00	206.99	0.48	202.01	213.52	0.33	0.39	442.00	0.00
"FBtr0079431"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100353"	387.11	392.49	424.00	654.08	656.59	596.66	440.49	476.72	432.61	340.02	532.41	560.90	142.78	139.85	149.04
"FBtr0339663"	335.89	563.51	607.00	552.92	672.41	494.34	513.51	356.28	426.39	278.98	331.59	351.10	296.22	302.15	634.96
"FBtr0100589"	2699.59	3058.84	2159.37	4084.22	4154.15	3859.63	309.58	167.03	234.94	4937.99	4389.10	4147.75	6147.98	6445.58	4874.06
"FBtr0100590"	499.59	517.87	403.48	1000.95	1035.07	1146.87	17.96	65.12	45.70	714.64	526.03	591.39	1181.84	1095.02	1779.94
"FBtr0100591"	21.56	15.15	7.08	20.49	30.75	0.36	6.30	8.64	8.52	35.97	34.75	45.32	24.15	40.67	43.22
"FBtr0100593"	0.00	0.05	0.00	0.00	0.00	17.65	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
"FBtr0100594"	39.69	57.89	80.00	108.84	159.28	74.48	0.00	6.57	3.31	81.42	41.38	69.18	97.88	85.07	96.56
"FBtr0006151"	21.56	15.15	7.08	20.49	30.75	0.36	6.30	8.64	8.52	35.97	34.75	45.32	24.15	40.67	43.22
"FBtr0100187"	0.00	0.05	0.00	0.00	0.00	17.65	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
"FBtr0343699"	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086744"	31.57	60.39	0.00	60.74	118.85	87.20	0.00	31.60	63.24	0.00	0.00	120.49	65.49	0.00	31.99
"FBtr0340288"	982.43	1313.61	1275.00	1559.26	1555.15	1418.80	741.00	544.40	673.76	979.00	1014.00	1074.51	1081.51	1135.00	1591.01
"FBtr0078053"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083478"	1214.04	1546.10	1287.00	1794.98	2118.04	1780.23	183.00	115.00	201.00	1270.87	1091.96	1437.11	1459.16	1361.00	2056.59
"FBtr0331348"	9.96	8.90	0.00	10.02	9.96	22.77	0.00	0.00	0.00	9.13	19.04	8.89	10.84	0.00	18.41
"FBtr0084994"	0.00	0.00	0.00	17.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.21	8.85
"FBtr0084995"	671.28	1382.24	980.49	930.08	839.42	964.97	743.49	1141.30	1003.97	1069.47	981.20	914.92	879.74	999.74	1513.21
"FBtr0084999"	0.00	0.00	4.30	0.00	0.00	3.16	0.00	0.00	0.00	0.00	4.56	0.00	10.28	15.26	5.52
"FBtr0085000"	6.27	6.18	1.29	0.00	0.00	2.33	12.26	6.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085001"	49.01	81.33	72.56	88.68	55.71	81.43	77.08	78.31	113.24	68.77	57.55	45.67	57.77	61.61	128.06
"FBtr0114544"	7.75	6.67	18.07	56.85	39.73	19.30	17.38	28.55	28.01	12.28	0.00	17.17	0.00	0.00	0.00
"FBtr0306657"	43.57	19.04	42.91	42.39	31.39	16.60	78.31	53.54	32.98	26.04	19.48	59.94	47.02	17.06	8.84
"FBtr0310660"	4.52	10.70	29.63	5.27	9.19	58.94	23.25	0.00	0.00	4.83	9.44	0.00	21.37	58.19	57.39
"FBtr0310661"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.09	0.00	0.00	5.28	12.49	36.28	104.18
"FBtr0339614"	2487.59	3540.84	3712.75	3466.37	4103.55	3522.27	4535.23	4103.47	4234.71	2716.62	2894.76	2613.02	2298.34	2129.64	3179.95
"FBtr0081618"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081619"	0.00	2.00	0.00	12.00	24.00	78.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081620"	0.00	0.00	1.00	0.00	0.00	29.24	3.00	0.00	1.00	2.00	1.00	3.00	1.00	0.00	1.00
"FBtr0081153"	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00	1.00	2.00
"FBtr0081154"	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00	1.00	0.00	3.00	2.00	0.00	0.00	0.00
"FBtr0071331"	89.93	121.09	150.98	121.34	129.88	144.70	66.68	50.34	47.33	92.29	105.04	122.39	117.53	126.38	166.94
"FBtr0307281"	759.07	937.91	689.02	1086.66	1228.12	1050.30	476.32	415.66	388.67	938.71	817.96	936.61	1001.47	915.62	1119.06
"FBtr0086983"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087004"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345521"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBtr0089517"	69.06	52.87	39.63	14.72	85.08	52.42	28.70	31.55	36.65	40.28	99.72	96.75	94.55	102.94	57.62
"FBtr0089518"	488.31	461.38	419.47	720.15	780.91	793.01	467.11	632.78	623.12	547.52	802.38	794.34	711.82	635.54	831.87
"FBtr0089519"	1389.01	1484.73	1333.71	2633.37	2740.53	2316.02	1817.36	1788.99	1594.99	1854.41	1522.36	1340.72	841.60	503.56	1153.89
"FBtr0089520"	57.12	49.25	15.60	25.21	37.94	24.19	11.47	23.80	47.03	47.85	21.65	50.32	44.21	45.69	69.00
"FBtr0336797"	7.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336798"	166.51	144.77	126.58	295.55	122.54	274.36	77.36	233.88	129.21	174.94	116.89	139.88	115.82	88.27	164.62
"FBtr0070025"	582.46	546.65	609.07	777.01	812.00	628.23	47.75	55.31	80.00	670.97	788.30	768.61	919.79	759.59	700.54
"FBtr0301931"	254.54	261.35	195.93	239.99	216.00	304.77	39.25	20.69	0.00	209.03	222.70	252.39	127.21	143.41	166.46
"FBtr0070504"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
"FBtr0085611"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
"FBtr0346141"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077850"	1159.14	2166.61	2444.52	1739.31	2337.36	1568.67	1310.12	827.78	1117.22	1010.43	774.79	981.78	1172.07	1322.21	3073.00
"FBtr0077851"	121.69	0.00	0.00	22.76	24.64	135.85	55.88	80.22	143.22	95.69	119.21	202.22	188.39	70.79	0.00
"FBtr0330658"	27.17	14.39	32.48	13.93	0.00	16.48	0.00	0.00	29.56	25.88	0.00	0.00	14.55	0.00	0.00
"FBtr0330659"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330660"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078481"	31070.13	34607.72	29065.47	28692.16	25546.21	30655.90	35939.53	41187.06	40406.25	29309.32	38938.40	42602.25	28216.28	27065.70	29995.13
"FBtr0334113"	222.87	203.28	271.53	174.84	158.79	122.10	252.47	329.94	326.75	191.68	262.60	299.75	131.72	185.30	326.87
"FBtr0070109"	0.00	7.49	0.00	6.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	9.02
"FBtr0307291"	0.00	0.22	7.72	5.28	0.00	0.00	0.09	0.01	0.00	6.15	0.02	0.00	0.00	0.00	0.00
"FBtr0307292"	0.00	0.00	0.00	0.00	1.25	5.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307293"	6.50	0.00	0.00	5.40	0.00	2.47	0.00	3.90	0.00	4.85	4.23	0.00	9.00	0.00	0.00
"FBtr0307294"	0.00	0.00	0.00	0.00	3.75	0.00	7.51	4.18	10.88	0.00	4.51	1.11	0.00	3.05	0.00
"FBtr0307295"	6.50	15.29	21.28	0.00	0.00	2.47	4.39	3.90	6.12	0.00	4.23	4.88	0.00	8.95	8.98
"FBtr0089420"	498.63	594.56	472.14	706.65	858.64	656.18	599.07	613.74	594.05	681.26	744.18	692.76	648.01	629.16	819.43
"FBtr0346440"	27.33	0.00	0.00	25.84	17.73	18.55	0.00	19.82	0.00	28.72	10.23	0.00	0.00	9.12	8.63
"FBtr0346441"	19.04	18.44	56.86	19.51	4.63	9.27	13.93	4.43	39.95	22.02	12.59	39.24	26.99	18.72	13.94
"FBtr0080344"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080345"	369.94	335.78	321.40	1115.38	498.98	664.21	294.84	0.00	46.98	1122.27	1686.12	2581.70	1149.08	965.36	866.50
"FBtr0080347"	0.00	1.78	1.75	1.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.78
"FBtr0300567"	7273.30	10203.73	9333.84	12812.43	14541.97	12952.46	360.24	416.17	582.50	7193.98	5768.47	6715.35	8315.72	8928.93	13519.30
"FBtr0331644"	97.91	127.65	177.51	101.16	58.30	66.80	43.29	33.95	89.72	163.48	107.20	56.87	96.60	91.99	141.09
"FBtr0331645"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.33	0.00
"FBtr0331646"	4562.85	6567.12	6229.50	5171.20	6035.75	4626.54	498.63	221.89	351.80	4411.27	4272.21	4152.81	4019.59	4648.07	5569.31
"FBtr0331647"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	53.28	0.00	0.00	0.00
"FBtr0331648"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331998"	0.00	20.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	56.00	76.31	64.02
"FBtr0075517"	1781.00	1905.00	1556.00	2298.00	2511.00	2259.00	1801.00	2217.00	1907.00	2112.00	2302.00	2220.00	2122.00	1919.00	2470.00
"FBtr0076543"	0.00	0.00	0.00	0.00	5.28	0.00	0.00	0.00	0.00	4.71	0.00	0.00	0.00	0.00	0.00
"FBtr0076544"	1507.43	1986.96	1746.19	2442.06	2249.60	2398.48	103.42	66.97	108.56	891.19	919.04	956.71	809.54	1171.77	1777.89
"FBtr0076545"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076546"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0112791"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331550"	0.00	0.00	0.00	0.00	0.00	0.00	2.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345030"	13.57	137.04	158.81	252.94	283.13	308.52	23.36	15.03	7.44	187.10	190.96	212.29	183.46	151.23	85.11
"FBtr0089988"	53.96	40.47	134.89	66.28	143.52	121.15	78.75	81.20	109.47	84.61	71.14	117.25	72.95	46.41	67.42
"FBtr0089989"	111.76	406.66	332.10	376.98	559.81	340.95	187.08	145.89	228.15	243.75	104.72	75.04	221.59	108.09	395.61
"FBtr0089990"	126.57	80.24	77.91	44.61	49.89	70.27	231.29	168.91	214.24	41.18	113.98	113.48	29.78	0.00	148.42
"FBtr0089991"	5822.96	8076.57	8571.35	7576.03	8770.40	7405.71	10691.43	8337.83	9270.62	5971.45	5342.47	5367.27	5151.93	4448.40	9923.54
"FBtr0089992"	1007.75	1515.07	1588.76	1507.11	1678.38	1465.91	2481.37	1744.16	1827.61	1119.01	915.68	994.96	1211.74	893.09	1832.15
"FBtr0332583"	0.00	0.00	0.00	0.00	0.00	0.00	11.08	0.00	9.91	0.00	0.00	0.00	0.00	0.00	10.86
"FBtr0087702"	672.00	1269.00	1430.00	685.00	994.00	541.00	1246.00	815.00	1139.00	498.00	382.00	556.00	641.00	582.00	1533.00
"FBtr0081030"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307350"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340229"	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00
"FBtr0076599"	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
"FBtr0070075"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084659"	13.84	7.19	0.00	6.58	13.59	26.24	25.47	44.81	13.62	12.80	12.16	26.07	13.41	13.33	14.59
"FBtr0084660"	1193.55	1527.44	1483.16	1741.42	1893.41	1637.76	1882.53	1674.30	1708.82	1233.50	1214.40	1455.54	1297.07	1184.39	2057.92
"FBtr0306171"	60.61	119.37	34.84	0.00	0.00	0.00	0.00	59.89	133.57	70.70	88.44	37.40	152.52	63.28	44.48
"FBtr0084692"	3315.00	6222.00	7099.00	4264.00	5542.00	3764.00	3050.00	1742.00	2808.00	2565.00	2128.00	2568.00	2253.00	2816.00	6640.00
"FBtr0080165"	1541.48	1832.72	2088.53	2330.17	2691.83	2215.00	2093.47	1702.75	1960.66	2468.59	1528.91	1952.31	1795.42	1308.44	3082.66
"FBtr0112793"	43.52	89.28	91.47	95.83	69.17	104.00	46.53	27.25	46.34	75.41	31.09	60.69	191.58	66.56	104.34
"FBtr0082483"	2930.00	3145.00	2987.00	4659.00	5037.00	4449.00	2683.00	2783.00	2573.00	3772.00	3675.00	4079.00	3656.00	3037.00	4834.00
"FBtr0339146"	775.73	758.34	601.95	874.65	772.74	903.16	250.39	430.08	430.18	751.68	836.88	910.40	762.53	663.01	844.59
"FBtr0346150"	50.67	18.43	9.46	27.82	36.49	4.48	9.04	4.29	4.40	21.40	15.69	26.17	17.60	18.05	23.82
"FBtr0346611"	21791.59	22437.22	19529.59	22409.53	22251.77	23935.36	10887.58	13216.63	13082.42	25688.92	30678.43	27451.43	22663.87	22127.95	18802.59
"FBtr0074372"	620.00	774.00	767.00	1036.00	1057.00	948.00	295.00	238.00	314.00	653.00	737.00	872.00	646.00	549.00	952.00
"FBtr0080542"	1.00	0.00	2.50	2.50	3.00	0.00	0.00	0.00	4.00	3.00	0.00	0.00	1.00	0.00	0.00
"FBtr0309960"	0.00	4.00	0.00	0.00	0.00	6.00	2.00	5.00	0.00	0.00	11.00	7.00	0.00	5.00	1.00
"FBtr0342712"	1.00	0.00	2.50	2.50	3.00	0.00	0.00	0.00	4.00	3.00	0.00	0.00	1.00	0.00	0.00
"FBtr0072378"	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072379"	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300076"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084869"	1624.00	2060.00	1775.00	1965.00	2171.00	1826.00	947.00	964.00	984.00	1297.00	1399.00	1620.00	1436.00	1530.00	2011.00
"FBtr0074388"	850.23	1554.04	1722.04	553.00	865.00	397.00	1538.00	976.00	1364.77	578.59	434.43	506.32	585.70	783.43	1853.69
"FBtr0111000"	0.00	0.00	2.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343763"	0.00	6.04	12.77	0.00	0.00	0.00	0.00	0.00	17.23	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343764"	1.77	1.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.41	1.57	1.68	3.30	3.57	9.31
"FBtr0081664"	572.85	486.62	424.09	831.74	855.85	664.32	21.56	16.85	27.27	614.43	584.46	635.12	492.95	419.91	425.01
"FBtr0081665"	2071.64	2432.94	3045.20	3561.45	3954.10	2816.66	86.71	59.27	59.53	2290.10	2267.48	2459.68	2597.56	1622.72	3596.01
