	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0433532"	4.00	5.00	2.00	6.00	10.00	3.00	3.00	5.00	3.00	4.00	4.00	2.00	8.00	9.00	3.00
"FBtr0346721"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346673"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079300"	234.54	353.43	466.05	216.62	264.68	169.45	95.40	79.14	69.42	158.12	125.35	168.94	165.32	194.85	441.24
"FBtr0079301"	112.59	232.27	304.41	70.05	119.72	105.91	90.81	60.52	125.96	83.91	133.99	76.36	149.66	172.11	258.99
"FBtr0329941"	377.65	423.68	378.26	344.89	380.74	247.73	408.03	296.86	301.59	257.95	224.34	254.62	453.01	355.46	533.57
"FBtr0329942"	249.68	574.19	580.24	289.81	328.17	225.46	176.36	75.34	171.62	267.90	180.96	341.14	190.70	270.74	659.95
"FBtr0329943"	234.54	353.43	466.05	216.62	264.68	169.45	95.40	79.14	69.42	158.12	125.35	168.94	165.32	194.85	441.24
"FBtr0113784"	5149.00	5765.00	4341.00	5782.00	6440.00	5146.00	6380.00	7691.00	6298.00	6178.00	4606.00	5723.00	4757.00	4592.00	7790.00
"FBtr0091956"	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00
"FBtr0084047"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0303308"	942.00	1285.00	1084.00	815.00	1064.00	819.00	2359.00	1888.00	1846.00	1325.00	1049.00	1346.00	2892.00	2480.00	4106.00
"FBtr0073369"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081676"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
"FBtr0091716"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0091717"	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00	1.00	1.00
"FBtr0332503"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0332504"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0433508"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078617"	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078618"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
