	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0038533"	47.07	53.16	53.56	61.10	61.53	64.44	62.95	54.45	66.06	46.28	50.41	53.14	48.52	37.92	55.94
"FBgn0038535"	104.51	133.49	152.44	100.77	110.34	91.00	141.83	102.11	129.81	69.33	58.97	75.09	88.21	73.09	166.72
"FBgn0038536"	31.87	35.09	30.20	43.74	42.37	42.28	11.93	9.13	11.61	41.56	37.40	41.14	54.33	39.89	51.90
"FBgn0038539"	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038540"	0.27	0.00	0.14	0.46	0.64	0.96	1.14	0.51	0.83	0.34	0.81	0.56	0.35	0.25	0.00
"FBgn0038541"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038542"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038545"	145.98	146.84	128.50	163.87	157.93	161.34	152.01	155.30	151.98	148.83	143.43	140.76	153.88	144.18	139.98
"FBgn0038546"	82.63	111.74	122.39	105.73	103.87	107.00	101.50	87.57	98.85	67.31	70.23	69.41	75.79	84.46	105.28
"FBgn0038547"	0.79	1.06	1.17	0.75	0.72	0.71	0.97	0.98	1.01	0.86	0.59	0.87	0.77	1.09	1.78
"FBgn0038548"	21.19	21.28	26.22	25.66	23.11	23.45	30.20	25.94	27.51	19.18	20.52	21.34	24.88	22.60	29.52
"FBgn0038549"	51.20	58.15	53.61	59.57	58.96	56.75	23.25	18.00	21.98	47.67	40.22	48.95	52.61	53.61	69.72
"FBgn0038550"	3.38	3.23	3.07	2.40	2.56	3.31	0.14	0.19	0.28	3.28	2.52	2.94	3.05	3.72	4.38
"FBgn0038551"	118.48	125.13	134.10	136.02	143.04	131.98	163.66	128.35	138.74	117.13	105.27	107.55	112.81	91.28	146.25
"FBgn0038552"	57.59	63.97	55.11	71.36	68.62	74.34	11.54	7.66	10.59	47.85	45.03	51.34	61.68	64.46	64.05
"FBgn0038558"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038564"	46.67	51.49	54.28	58.17	55.68	54.36	72.56	76.47	70.51	41.09	42.99	42.18	43.66	43.62	55.79
"FBgn0038565"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038566"	4.67	4.23	3.23	11.54	15.52	26.42	4.60	4.00	2.54	7.67	5.08	6.21	9.65	3.87	6.75
"FBgn0038567"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038568"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038569"	64.70	76.39	82.83	79.35	83.32	78.04	32.36	22.44	29.69	50.47	56.68	62.37	59.87	61.30	80.48
"FBgn0038570"	453.64	467.71	444.69	408.80	380.47	415.51	413.09	468.74	438.84	489.74	527.91	484.07	488.11	510.43	437.82
"FBgn0038571"	193.73	176.60	155.93	214.87	207.65	218.41	224.72	240.11	217.86	195.44	199.45	214.91	222.67	240.38	226.63
"FBgn0038575"	217.59	224.83	207.04	248.64	240.47	238.35	60.81	46.44	59.55	211.82	199.80	236.35	219.64	246.41	233.32
"FBgn0038576"	23.56	24.81	26.00	32.10	31.43	31.26	37.88	32.49	31.08	24.77	23.55	25.43	22.69	18.76	27.50
"FBgn0038577"	135.02	126.07	121.54	113.15	101.84	115.69	38.08	34.60	35.69	110.68	134.30	146.83	131.55	155.38	148.65
"FBgn0038578"	14.90	18.12	16.66	27.24	26.87	27.66	0.47	0.36	0.46	9.17	8.92	10.06	11.09	15.30	15.25
"FBgn0038579"	0.15	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00
"FBgn0038581"	0.94	1.13	0.99	0.71	0.54	0.69	1.67	0.94	0.85	1.36	0.96	1.21	2.13	1.70	2.46
"FBgn0038582"	4.90	4.78	4.43	6.51	5.83	6.59	3.27	4.28	3.26	6.04	4.93	5.42	7.81	6.90	6.49
"FBgn0038583"	25.34	25.53	33.03	29.09	31.53	27.26	39.86	31.79	35.87	21.80	21.96	23.86	22.29	18.57	32.96
"FBgn0038584"	55.10	57.50	55.77	70.47	66.57	63.88	8.24	5.04	6.97	48.04	51.13	57.14	61.24	65.27	67.98
"FBgn0038585"	145.49	145.74	152.55	170.75	179.30	184.96	187.03	182.95	186.21	133.64	142.96	153.84	141.72	129.81	145.92
"FBgn0038586"	63.16	58.82	59.26	67.79	62.27	66.42	41.27	50.00	48.61	61.51	67.75	70.58	70.54	70.06	66.10
"FBgn0038588"	50.68	62.69	71.63	63.12	66.51	65.92	88.20	70.72	76.60	43.37	43.18	45.82	46.62	43.63	67.79
"FBgn0038589"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038590"	8.21	7.48	7.47	8.79	8.28	8.19	5.40	3.78	5.92	9.44	8.59	9.72	8.24	9.52	11.31
"FBgn0038592"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038593"	21.55	26.04	33.27	30.70	33.60	31.14	46.08	32.83	41.56	17.83	17.21	20.72	19.37	12.38	29.68
"FBgn0038595"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038596"	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038597"	11.89	13.03	17.07	16.35	15.75	16.38	17.47	14.00	15.26	10.63	10.15	11.49	10.13	8.23	14.64
"FBgn0038598"	0.19	0.03	0.16	0.00	0.15	0.07	0.08	0.11	0.00	0.16	0.10	0.12	0.03	0.07	0.00
"FBgn0038601"	91.96	87.20	84.92	127.86	133.77	130.12	114.40	118.36	112.50	87.11	81.13	83.23	82.54	76.00	102.51
"FBgn0038602"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038603"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00
"FBgn0038606"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038607"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00
"FBgn0038608"	119.52	126.91	109.16	128.20	125.66	122.99	3.66	3.00	3.86	99.65	87.39	99.66	110.81	158.12	142.99
"FBgn0038609"	72.20	63.32	57.24	79.63	74.23	81.20	5.33	5.27	6.33	61.01	61.75	61.88	68.34	94.59	65.58
"FBgn0038610"	0.23	0.41	0.39	0.50	0.12	0.19	0.16	0.71	0.91	0.50	0.63	0.55	1.22	0.49	0.52
"FBgn0038611"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038612"	0.10	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.11	0.00	0.00	0.17	0.09	0.00	0.08
