	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0345251"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081597"	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.13
"FBtr0300016"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079455"	3.01	2.19	6.87	0.00	0.00	1.66	3.86	6.41	6.63	0.53	0.14	1.30
"FBtr0075884"	2817.15	2799.50	2916.46	3065.63	3128.64	2984.17	3917.08	3948.21	3818.47	3692.30	3733.16	3702.02
"FBtr0075885"	26.47	18.93	15.97	28.43	27.61	29.11	24.78	29.66	23.87	32.93	40.98	39.05
"FBtr0346390"	36.37	45.46	36.86	49.07	64.83	61.95	63.49	62.50	74.22	81.18	96.80	97.67
"FBtr0088637"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088638"	0.05	0.00	0.00	0.10	0.00	0.07	0.00	0.13	0.06	0.19	0.27	0.00
"FBtr0088639"	0.05	0.00	0.00	0.10	0.00	0.07	0.00	0.13	0.06	0.19	0.00	0.00
"FBtr0088640"	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.15	0.00	0.00	0.44
"FBtr0304568"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304569"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304570"	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00
"FBtr0304571"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304572"	0.00	0.02	0.06	0.00	0.03	0.30	0.11	0.10	0.12	0.24	0.23	0.25
"FBtr0308083"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0111143"	0.33	0.33	1.44	0.00	0.02	0.07	0.60	0.88	0.92	0.10	0.37	0.10
"FBtr0304625"	0.00	0.00	0.00	0.00	0.02	0.07	0.00	0.29	0.00	0.10	0.00	0.10
"FBtr0085154"	0.00	0.00	0.00	0.00	2.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085155"	158.25	154.20	139.07	155.02	158.03	159.06	184.94	170.30	170.09	169.86	155.32	172.17
"FBtr0085156"	1.84	1.65	4.19	5.02	0.00	2.19	5.78	7.53	7.42	8.12	16.90	7.86
"FBtr0082440"	94.65	87.49	87.89	80.16	78.71	74.80	107.17	110.48	91.55	80.17	80.95	88.35
"FBtr0082442"	1.95	4.08	4.75	5.85	6.65	4.58	8.17	7.70	6.70	12.22	9.68	7.99
"FBtr0290205"	11.53	12.00	12.53	30.56	29.01	25.06	13.30	22.76	18.28	34.86	33.46	37.06
"FBtr0335213"	48.73	51.19	45.36	23.94	28.15	28.98	64.37	45.34	57.89	41.77	35.30	32.93
"FBtr0079924"	84.30	87.92	82.10	93.94	95.15	83.84	121.76	112.58	115.29	109.17	105.29	108.72
"FBtr0075290"	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.50
"FBtr0077922"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00
"FBtr0072100"	2.24	2.16	4.52	0.00	0.00	4.36	3.75	4.52	2.63	1.97	0.28	3.61
"FBtr0336685"	1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.69
"FBtr0072095"	36.76	35.96	30.97	36.41	35.34	40.24	7.57	7.36	9.89	16.62	16.21	16.80
"FBtr0088658"	0.48	0.63	0.36	0.85	0.68	0.35	0.32	0.67	0.43	0.27	0.84	0.23
"FBtr0088659"	43.81	39.87	39.65	32.65	31.02	35.59	5.49	4.75	5.31	10.67	9.09	8.77
"FBtr0300599"	0.00	0.00	0.44	0.26	0.21	0.22	0.00	0.65	0.33	0.40	0.48	0.34
"FBtr0080079"	95.82	80.17	68.13	99.51	109.84	109.00	182.38	178.04	201.17	165.15	164.82	175.46
"FBtr0333411"	5.00	7.36	9.03	8.60	10.68	10.60	15.22	17.43	16.48	22.51	22.57	22.83
"FBtr0076472"	95.95	124.54	152.04	100.47	126.11	122.22	178.61	186.71	215.39	160.91	162.11	173.75
"FBtr0333867"	180.45	154.86	131.23	212.09	215.14	192.75	161.10	162.64	122.50	188.14	205.51	192.50
"FBtr0075991"	70.94	69.69	77.27	71.35	77.19	69.10	82.47	75.80	68.16	81.16	77.27	74.12
"FBtr0084786"	65.05	56.91	56.77	59.53	59.21	75.48	62.98	73.30	76.36	75.80	76.93	79.23
"FBtr0072676"	192.73	211.30	211.73	168.20	178.89	163.67	81.71	76.88	74.77	106.53	98.52	92.56
"FBtr0072677"	187.58	216.29	225.13	210.86	211.20	195.94	82.97	75.33	74.00	124.56	113.26	103.12
"FBtr0331864"	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.99	0.52	0.35
"FBtr0076023"	12.94	10.86	12.58	10.60	16.31	15.15	16.92	16.49	17.61	15.62	13.31	11.80
"FBtr0334094"	227.45	235.20	255.15	222.29	256.06	220.33	262.02	268.94	261.86	253.50	258.59	273.33
"FBtr0082929"	75.76	46.33	55.99	77.08	53.78	76.57	24.87	14.93	16.52	35.46	32.49	37.56
"FBtr0082930"	48.32	47.22	46.71	56.73	61.97	65.32	27.06	26.93	23.67	54.62	54.09	44.92
"FBtr0309996"	1.68	4.09	1.53	0.96	3.27	3.59	1.40	1.25	1.75	1.73	0.73	0.77
"FBtr0301089"	56.06	63.65	63.63	74.79	66.97	63.07	47.75	39.39	35.92	54.40	62.56	49.86
"FBtr0334696"	11.87	12.16	16.50	8.32	6.12	7.40	8.77	4.98	8.20	7.40	5.22	4.74
"FBtr0083611"	118.30	80.81	88.04	106.49	87.88	104.95	156.60	122.96	133.36	106.48	89.06	122.81
"FBtr0083612"	43.33	35.36	31.10	33.79	34.19	35.02	75.22	71.45	68.59	50.73	48.30	54.15
"FBtr0083613"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00
"FBtr0330051"	0.00	6.38	15.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076598"	33.47	21.92	18.58	45.62	26.45	36.77	16.69	12.23	11.72	30.98	30.36	28.55
"FBtr0333891"	56.25	70.77	76.70	33.46	53.81	38.53	53.38	48.04	33.43	49.47	41.66	39.50
