	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0081624"	34.11	53.38	0.00	590.94	64.42	0.00	66.20	85.88	100.24	59.47	0.00	94.95
"FBtr0071763"	3.81	4.59	4.55	6.01	5.61	3.22	0.71	0.99	0.00	4.04	1.89	1.52
"FBtr0071764"	0.09	0.00	0.21	0.13	0.11	0.11	0.00	0.00	0.00	0.10	0.00	0.09
"FBtr0100521"	21.97	13.42	13.58	14.10	9.66	14.74	3.81	1.61	2.06	3.57	4.89	3.92
"FBtr0342981"	0.27	0.35	0.70	0.00	0.00	0.14	0.00	0.00	0.00	0.71	0.10	0.32
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.22	0.00	0.00	0.00	0.00
"FBtr0083388"	0.30	0.37	0.00	0.18	0.01	0.07	1.02	1.00	1.49	0.49	0.14	0.26
"FBtr0300485"	0.00	0.06	0.34	0.00	0.00	0.16	0.09	0.49	1.32	0.08	0.00	0.00
"FBtr0306337"	0.38	0.10	0.22	0.00	0.16	0.00	1.53	1.90	1.37	0.00	0.15	0.15
"FBtr0083381"	0.00	0.00	0.00	0.57	0.37	0.19	0.07	0.00	0.51	1.06	0.72	1.48
"FBtr0083382"	0.31	0.00	0.28	0.00	0.79	2.00	0.00	0.89	0.00	1.68	1.76	2.37
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.09	0.08	0.00	0.00	0.00	0.09	0.00
"FBtr0083384"	0.33	0.00	0.00	1.20	0.35	0.31	1.06	0.00	0.00	3.88	0.00	1.95
"FBtr0083385"	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.36
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.09	0.08	0.00	0.00	0.00	0.09	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.09	0.08	0.00	0.00	0.00	0.09	0.00
"FBtr0415463"	0.00	0.42	0.35	0.00	1.64	1.72	1.42	2.85	3.02	2.28	6.78	3.17
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00
"FBtr0415465"	0.04	0.03	0.03	0.05	0.09	0.09	0.21	0.19	0.28	0.28	0.29	0.35
"FBtr0075357"	27.89	19.16	20.60	17.05	10.28	5.65	23.07	19.37	14.49	10.54	8.06	15.96
"FBtr0112790"	4.54	3.66	2.92	5.01	4.85	3.21	5.14	4.61	4.36	5.32	4.32	5.72
"FBtr0330130"	1.65	2.99	3.06	0.00	0.62	0.24	3.99	2.27	0.96	0.09	1.20	0.02
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330133"	1.45	0.00	0.00	3.50	1.40	3.11	0.02	0.03	0.19	2.60	0.55	2.67
"FBtr0330134"	0.01	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.09	0.21	0.01
"FBtr0330135"	24.02	15.34	16.51	24.17	20.20	25.23	21.34	14.89	14.03	23.62	18.49	23.88
"FBtr0330136"	5.93	0.00	0.00	5.54	2.26	9.63	2.22	0.86	2.11	4.85	4.15	1.80
"FBtr0345369"	0.00	0.79	1.86	0.00	0.00	2.83	0.00	0.00	0.00	1.03	0.98	0.52
"FBtr0080168"	34.23	33.92	32.88	25.59	24.21	27.11	12.39	9.54	8.09	14.77	12.13	13.26
"FBtr0070072"	2.12	1.90	2.74	3.92	6.37	5.48	17.54	14.28	16.86	17.82	16.92	16.56
"FBtr0082780"	0.22	0.02	0.52	0.00	0.02	0.11	0.27	0.25	0.25	0.09	0.14	0.25
"FBtr0300486"	0.00	0.07	0.12	0.11	0.03	0.01	0.00	0.07	0.03	0.12	0.08	0.19
"FBtr0335223"	0.09	0.13	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100328"	0.00	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.07
"FBtr0290063"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305189"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305190"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305191"	0.00	0.00	0.08	0.18	0.00	0.12	0.09	0.09	0.18	0.34	0.34	0.31
"FBtr0305192"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305194"	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305195"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305196"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085609"	105.23	105.58	110.22	77.01	73.78	82.77	59.81	45.60	30.22	57.75	43.84	47.01
"FBtr0085610"	2.26	1.61	4.05	3.41	1.80	0.62	1.32	1.67	0.00	0.70	1.86	0.95
"FBtr0084619"	0.00	0.02	0.05	0.00	0.01	0.06	0.00	0.00	0.00	0.02	0.03	0.05
"FBtr0330310"	0.00	0.02	0.05	0.00	0.01	0.06	0.00	0.00	0.00	0.02	0.03	0.05
"FBtr0334916"	0.08	0.02	0.20	0.00	0.00	0.10	0.17	0.32	0.16	0.05	0.02	0.09
"FBtr0072367"	0.08	0.07	0.29	0.02	0.00	0.05	0.19	0.14	0.24	0.03	0.19	0.00
"FBtr0072368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17
"FBtr0073299"	0.85	0.78	1.47	0.22	0.09	1.00	1.58	1.77	1.24	0.47	0.60	0.51
"FBtr0073300"	0.00	0.00	0.00	0.00	0.00	0.11	0.24	0.11	0.00	0.00	0.00	0.00
"FBtr0084639"	0.06	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.43	0.06	0.05	0.00
"FBtr0084640"	0.00	0.06	0.45	0.00	0.00	0.00	0.37	0.38	0.00	0.00	0.00	0.29
"FBtr0070822"	908.66	523.52	360.28	1576.60	1120.11	1223.99	0.00	0.00	0.00	927.89	668.09	699.20
"FBtr0070823"	495.29	433.22	430.62	464.32	351.31	409.77	585.35	619.22	579.65	465.61	441.43	580.82
"FBtr0100662"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100663"	1034.86	1327.11	1488.98	454.64	872.84	885.21	2231.66	2208.83	2234.41	1396.01	1496.02	1644.39
"FBtr0345894"	0.00	0.00	0.00	0.00	0.09	0.18	0.21	0.09	0.00	0.18	0.07	0.26
"FBtr0086029"	314.35	317.62	314.62	317.36	306.49	352.29	462.87	471.45	463.02	468.16	454.80	494.89
"FBtr0071519"	73.73	24.36	124.32	12.66	6.06	114.73	121.23	100.28	127.54	92.21	41.02	112.84
"FBtr0078478"	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.00	0.15	0.04	0.09
"FBtr0334090"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBtr0082785"	6.63	3.77	9.00	5.45	7.51	16.21	25.44	19.58	23.81	23.58	19.93	26.27
"FBtr0082786"	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.25	0.22	0.00
"FBtr0346242"	0.00	0.00	0.85	0.00	0.00	1.15	0.00	1.75	1.10	0.33	1.16	2.41
"FBtr0083143"	0.00	0.00	0.00	0.00	0.05	0.00	0.26	0.00	0.04	0.05	0.00	0.09
"FBtr0079219"	17.27	12.46	14.94	29.71	25.91	30.97	5.73	2.45	1.42	10.14	12.36	9.31
"FBtr0079220"	25.76	22.99	14.80	21.56	15.77	18.63	2.39	2.97	2.79	8.44	5.27	7.94
"FBtr0079221"	0.90	0.00	1.69	0.00	0.00	1.55	0.00	0.00	0.00	2.83	0.00	1.13
"FBtr0079431"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100353"	12.08	7.29	6.92	28.85	25.54	31.35	7.41	9.93	8.60	24.74	22.10	23.67
"FBtr0339663"	15.00	12.63	13.79	8.61	8.05	10.47	9.05	7.58	6.32	6.58	5.27	5.51
"FBtr0100589"	566.54	611.85	604.78	540.10	461.22	508.43	18.79	8.71	8.72	58.80	54.12	39.57
"FBtr0100590"	71.02	50.59	101.45	36.01	36.35	43.78	40.31	90.03	99.74	6.96	4.48	9.47
"FBtr0100591"	0.87	1.28	1.67	0.64	1.45	1.30	0.00	0.55	0.00	0.16	0.00	0.00
"FBtr0100593"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.50	0.26
"FBtr0100594"	8.55	9.86	9.23	5.13	3.78	7.51	0.00	0.44	0.00	0.26	0.57	0.44
"FBtr0006151"	0.87	1.28	1.67	0.64	1.45	1.30	0.00	0.55	0.00	0.16	0.00	0.00
"FBtr0100187"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.50	0.26
"FBtr0343699"	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	0.39	1.50	1.18	0.93
"FBtr0086744"	3.45	1.19	0.00	1.74	0.00	1.38	1.30	0.00	0.00	0.00	0.00	1.09
"FBtr0340288"	55.66	54.92	45.91	51.77	49.10	52.41	20.60	15.59	13.22	32.56	24.27	23.12
"FBtr0078053"	0.12	0.13	0.74	0.74	0.22	0.98	0.53	0.55	0.22	1.81	1.25	1.59
"FBtr0083478"	54.72	47.46	45.55	43.64	39.09	41.88	6.62	5.72	5.54	15.14	12.03	9.87
"FBtr0331348"	0.00	0.00	0.00	0.46	0.80	0.96	0.00	0.00	0.00	0.00	0.23	0.00
"FBtr0084994"	1.55	1.18	8.00	0.00	0.00	1.56	5.32	8.56	7.19	1.23	1.71	3.07
"FBtr0084995"	229.84	161.15	178.48	211.74	169.20	197.91	157.00	133.30	130.88	132.47	111.46	119.32
"FBtr0084999"	0.29	0.29	1.32	0.38	0.13	0.39	0.58	0.99	0.71	1.13	0.09	0.00
"FBtr0085000"	0.00	0.00	0.25	0.00	0.19	0.22	0.00	0.00	0.19	0.00	0.30	0.93
"FBtr0085001"	4.18	4.63	5.06	3.06	3.59	3.92	3.50	6.07	2.28	5.45	4.83	3.16
"FBtr0114544"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.03	0.46	0.00	0.00
"FBtr0306657"	1.57	1.12	4.02	1.03	1.85	3.74	2.84	1.06	2.08	0.94	1.48	2.07
"FBtr0310660"	2.40	2.73	2.65	6.46	7.94	5.67	1.82	4.18	2.57	6.95	4.51	6.40
"FBtr0310661"	26.38	12.88	33.06	2.61	0.00	0.00	17.94	22.44	27.55	4.86	0.00	0.00
"FBtr0339614"	105.47	109.98	109.68	120.85	128.58	141.71	89.42	71.00	60.62	117.82	113.66	109.32
"FBtr0081618"	0.23	0.25	0.14	0.34	1.53	1.74	5.38	3.99	4.25	4.79	6.77	6.74
"FBtr0081619"	16.75	19.25	12.80	39.49	70.61	71.26	162.36	212.58	258.74	192.52	237.98	209.79
"FBtr0081620"	3.27	5.92	2.20	8.80	12.19	19.13	35.31	46.72	66.06	52.75	56.91	40.81
"FBtr0081153"	0.00	0.00	0.00	0.00	0.00	0.43	0.98	0.00	0.22	0.20	0.00	0.53
"FBtr0081154"	0.66	0.64	0.50	0.53	1.92	3.42	7.55	7.66	8.98	5.41	4.27	6.16
"FBtr0071331"	3.62	5.94	7.60	5.69	3.66	2.14	2.40	1.44	0.45	2.47	3.11	2.32
"FBtr0307281"	55.13	51.09	47.72	48.42	47.53	50.75	22.91	18.96	17.51	34.05	27.08	30.50
"FBtr0086983"	3.78	2.97	21.05	0.18	0.71	0.48	0.97	4.56	3.16	1.10	3.50	2.57
"FBtr0087004"	2.87	0.00	0.00	0.55	0.18	0.30	0.92	2.31	1.58	0.74	0.00	3.24
"FBtr0345521"	0.00	2.75	12.80	0.00	0.00	0.00	0.00	0.94	0.20	0.00	1.97	0.00
"FBtr0089517"	7.77	5.59	5.60	4.09	2.35	4.20	4.69	5.64	8.49	1.64	3.64	2.94
"FBtr0089518"	58.81	53.37	54.42	67.86	53.28	54.27	46.72	40.67	40.16	43.43	44.69	38.51
"FBtr0089519"	33.01	40.86	36.92	67.65	73.55	70.73	64.64	60.51	59.76	103.32	109.88	126.32
"FBtr0089520"	2.65	1.82	1.11	0.88	1.18	1.85	2.37	2.11	2.75	1.32	1.32	1.70
"FBtr0336797"	0.00	0.00	0.00	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.00	0.63
"FBtr0336798"	6.96	4.97	9.06	11.91	10.83	20.09	6.03	11.18	7.02	13.89	15.70	10.62
"FBtr0070025"	74.26	56.02	52.14	73.99	71.02	62.75	10.03	3.90	2.14	17.58	12.12	7.58
"FBtr0301931"	13.27	15.07	8.37	11.71	10.41	8.51	0.00	1.26	2.05	0.61	0.64	1.84
"FBtr0070504"	0.33	0.00	0.19	0.10	0.09	0.08	1.06	1.16	1.66	0.65	0.68	0.60
"FBtr0085611"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346141"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077850"	42.47	37.58	44.16	42.64	36.23	45.77	28.28	25.84	21.90	37.07	31.64	32.39
"FBtr0077851"	2.43	3.16	1.03	3.24	4.93	7.54	14.03	16.87	17.96	17.98	20.17	20.02
"FBtr0330658"	0.76	0.81	0.88	1.26	0.00	0.28	0.28	0.38	0.84	0.25	0.00	0.46
"FBtr0330659"	0.11	0.00	0.12	0.40	0.41	0.32	0.41	0.93	0.59	0.49	0.43	0.73
"FBtr0330660"	18.10	6.97	5.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078481"	2031.53	2030.10	1994.25	1957.07	1894.10	1854.56	2464.71	2561.71	2547.09	2110.32	1944.52	2129.74
"FBtr0334113"	22.62	22.68	26.15	26.92	19.37	14.43	15.60	20.52	18.49	14.15	13.14	14.08
"FBtr0070109"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307291"	0.33	0.00	0.65	0.00	0.00	0.40	0.68	0.58	0.68	0.15	0.09	0.28
"FBtr0307292"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307293"	0.26	0.11	0.59	0.44	0.08	0.00	0.17	0.33	0.00	0.11	0.02	0.00
"FBtr0307294"	0.21	0.52	0.72	0.48	0.27	0.76	0.31	0.86	0.29	0.71	0.62	0.50
"FBtr0307295"	0.46	0.26	0.47	0.00	0.08	0.30	0.35	0.11	0.48	0.00	0.02	0.23
"FBtr0089420"	56.35	60.12	61.36	53.58	66.84	53.30	66.39	67.38	61.40	61.58	66.77	66.38
"FBtr0346440"	0.77	1.53	0.00	0.91	0.73	2.25	1.71	0.77	3.70	2.89	4.37	2.90
"FBtr0346441"	0.93	0.94	0.55	3.13	0.00	1.54	0.47	1.57	1.52	2.80	3.25	1.24
"FBtr0080344"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080345"	9.16	8.83	7.09	12.42	11.49	11.96	0.63	0.49	0.00	4.38	2.38	0.82
"FBtr0080347"	0.00	0.06	0.07	0.00	0.24	0.23	0.00	0.00	0.06	0.00	0.06	0.12
"FBtr0300567"	661.01	542.41	531.12	566.96	473.19	541.58	31.90	15.23	11.21	103.02	74.05	46.36
"FBtr0331644"	0.58	0.50	0.93	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331645"	0.15	0.00	0.37	0.63	0.46	0.63	0.16	0.07	0.13	0.32	0.06	0.28
"FBtr0331646"	129.59	150.61	158.46	140.05	177.34	152.47	10.40	4.56	2.69	34.36	35.23	14.35
"FBtr0331647"	1.13	0.54	0.00	0.30	1.28	1.40	0.38	0.30	0.07	0.52	0.31	0.61
"FBtr0331648"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.12	0.00	0.00	0.00
"FBtr0331998"	1.74	0.00	0.52	6.00	9.64	13.06	0.00	0.81	0.69	4.18	4.65	4.34
"FBtr0075517"	124.29	137.36	128.24	131.21	130.02	136.84	133.71	130.37	121.69	147.81	136.62	131.66
"FBtr0076543"	0.15	0.00	1.44	0.00	0.00	0.33	0.28	0.78	0.47	0.00	0.00	0.00
"FBtr0076544"	32.50	45.62	34.37	152.34	125.82	134.24	2.58	1.21	0.61	18.64	15.09	10.00
"FBtr0076545"	11.97	4.59	12.26	13.07	4.05	26.66	9.27	14.01	14.28	20.06	14.32	12.15
"FBtr0076546"	0.53	0.30	1.38	0.94	0.00	2.88	1.46	0.32	0.83	2.20	2.09	2.44
"FBtr0112791"	0.00	0.29	0.28	0.00	0.00	0.00	0.73	0.60	0.59	0.00	0.00	0.37
"FBtr0331550"	0.00	0.10	0.70	0.19	0.20	0.07	0.00	1.45	0.38	0.64	0.32	0.38
"FBtr0345030"	5.23	11.83	7.75	62.97	41.99	42.22	1.70	5.74	12.25	14.72	15.27	9.57
"FBtr0089988"	7.93	4.58	5.84	8.98	5.98	5.69	16.48	21.51	24.36	11.75	16.54	22.25
"FBtr0089989"	21.19	22.32	14.68	5.29	10.88	11.47	56.85	67.52	72.57	41.02	43.98	47.34
"FBtr0089990"	3.61	1.49	5.43	15.68	13.53	20.41	9.44	6.70	5.05	18.52	16.56	16.11
"FBtr0089991"	261.14	224.11	210.25	254.24	212.38	268.58	401.53	386.04	393.83	357.77	317.26	383.06
"FBtr0089992"	49.89	47.46	42.43	47.19	35.83	57.63	86.80	90.61	91.18	79.80	81.11	77.28
"FBtr0332583"	0.00	0.00	0.00	0.41	0.35	0.64	0.88	1.77	0.74	0.63	0.95	1.78
"FBtr0087702"	25.06	18.30	20.80	20.63	17.39	21.80	21.50	16.68	15.12	24.18	20.63	25.47
"FBtr0081030"	0.27	0.00	0.83	0.00	0.00	0.00	0.46	0.56	0.47	0.00	0.04	0.00
"FBtr0307350"	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340229"	0.00	0.18	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076599"	0.20	0.00	0.18	0.06	0.15	0.20	0.27	0.14	0.30	1.13	1.16	0.72
"FBtr0070075"	0.15	0.18	0.14	0.83	1.06	2.12	1.12	2.07	2.53	4.15	3.45	3.67
"FBtr0084659"	3.29	1.99	2.81	1.06	0.46	0.44	0.82	2.07	0.32	0.80	0.59	1.74
"FBtr0084660"	52.81	49.90	48.67	50.67	51.53	53.49	72.38	67.54	68.80	65.77	64.22	67.96
"FBtr0306171"	5.50	6.46	7.58	8.32	9.30	6.23	19.46	18.41	17.37	10.36	14.52	12.34
"FBtr0084692"	110.87	87.35	91.09	90.03	72.07	94.41	39.19	31.91	30.72	36.61	37.52	36.70
"FBtr0080165"	66.83	63.16	67.09	49.42	43.19	51.41	69.25	60.04	48.17	45.58	41.17	50.46
"FBtr0112793"	1.45	1.52	1.52	0.00	2.23	0.38	0.00	0.95	0.56	1.60	0.61	0.31
"FBtr0082483"	133.35	143.33	135.26	119.13	108.53	119.82	49.04	35.00	30.64	60.33	56.46	49.84
"FBtr0339146"	102.33	73.80	82.05	111.77	110.45	95.15	39.41	41.43	44.80	50.47	46.20	49.95
"FBtr0346150"	2.42	3.57	0.00	2.39	1.37	3.29	3.05	1.01	1.92	2.36	3.55	2.57
"FBtr0346611"	3844.10	4039.51	4150.50	4334.17	4420.69	3854.32	2822.84	2839.65	2716.47	3041.29	2913.18	2873.07
"FBtr0074372"	24.75	23.14	20.16	21.13	18.69	20.20	9.03	7.58	7.06	12.67	10.97	10.68
"FBtr0080542"	0.16	0.06	0.00	0.28	0.07	0.15	0.00	0.07	0.00	0.13	0.10	0.02
"FBtr0309960"	0.00	0.00	0.20	0.00	0.18	0.00	0.07	0.05	0.12	0.00	0.00	0.00
"FBtr0342712"	0.16	0.06	0.00	0.28	0.07	0.15	0.00	0.07	0.00	0.13	0.10	0.02
"FBtr0072378"	0.13	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.12	0.00	0.00	0.00
"FBtr0072379"	0.09	0.37	0.14	0.64	0.98	1.16	1.57	2.44	2.70	3.56	3.35	3.35
"FBtr0300076"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
"FBtr0084869"	55.75	65.83	58.45	133.84	128.35	153.26	22.68	15.98	11.98	82.29	81.63	73.50
"FBtr0074388"	31.17	20.77	23.08	26.87	21.16	26.32	27.82	21.13	18.02	26.89	22.55	28.84
"FBtr0111000"	0.05	0.00	0.00	0.00	0.11	0.00	0.95	1.06	1.20	0.59	0.61	0.73
"FBtr0343763"	0.05	0.00	0.00	0.00	0.05	0.33	0.00	0.00	0.29	0.73	0.00	0.36
"FBtr0343764"	0.00	0.15	0.18	0.11	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081664"	2.81	2.60	7.79	0.85	1.34	1.73	3.66	2.52	0.79	0.47	3.77	1.15
"FBtr0081665"	83.72	82.65	77.47	85.58	77.28	78.72	65.57	40.43	30.55	70.65	53.27	47.46
"FBtr0081666"	0.00	0.00	2.28	5.30	1.51	0.85	1.66	0.00	1.35	1.16	1.75	1.27
"FBtr0081667"	6.06	5.21	3.28	2.70	4.76	3.29	3.84	2.69	1.07	2.11	0.91	1.99
"FBtr0081668"	39.80	27.82	28.60	24.87	23.17	28.12	16.46	15.75	8.51	19.02	13.03	23.15
"FBtr0073855"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300566"	425.84	416.11	422.87	439.88	449.38	423.78	531.19	528.60	512.87	478.70	496.59	534.11
"FBtr0307296"	5.73	6.16	6.41	6.15	8.89	7.77	6.80	8.35	7.76	9.36	10.76	11.31
"FBtr0332843"	5.84	3.13	9.17	5.20	7.93	7.62	9.87	12.90	11.14	12.44	9.81	10.85
"FBtr0332844"	5.73	7.98	8.67	5.42	6.49	6.11	9.75	7.33	8.79	7.17	10.24	8.36
"FBtr0070672"	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300608"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300609"	0.00	0.00	0.00	0.18	0.00	0.40	0.15	0.06	0.08	0.40	0.21	0.22
"FBtr0308914"	0.00	0.00	0.01	0.00	0.09	0.09	0.00	0.24	0.00	0.69	0.61	0.63
"FBtr0308915"	0.06	0.04	0.00	0.12	0.00	0.00	0.11	0.00	0.25	0.43	0.00	0.00
"FBtr0331162"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343569"	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.15
"FBtr0079929"	4.20	4.11	2.94	5.24	9.17	11.87	50.68	56.39	61.02	38.52	42.33	48.76
"FBtr0329984"	4.20	4.11	2.94	5.24	9.17	11.87	50.68	56.39	61.02	38.52	42.33	48.76
"FBtr0087782"	731.40	758.15	721.48	670.40	569.05	635.59	610.17	609.43	659.68	601.47	587.96	632.03
"FBtr0087783"	802.61	731.50	637.21	939.36	864.53	924.36	477.74	418.72	451.95	710.25	680.23	549.56
"FBtr0080803"	30.18	29.71	31.89	17.22	15.49	21.75	0.48	0.29	0.32	1.14	1.10	1.35
"FBtr0080804"	293.69	233.11	226.75	231.41	176.43	214.65	2.63	1.01	0.58	13.77	11.23	5.78
"FBtr0080805"	4.93	0.00	0.00	116.02	109.38	81.89	0.00	0.21	0.47	7.41	11.58	4.69
"FBtr0081002"	63.53	54.90	54.39	47.47	39.59	46.09	28.03	19.02	14.91	31.38	22.00	24.66
"FBtr0305688"	0.22	0.00	0.39	0.26	0.81	0.34	0.53	0.53	0.12	0.61	0.10	0.28
"FBtr0330225"	0.98	0.82	1.49	0.62	0.92	1.35	1.75	2.33	1.01	0.94	1.86	2.28
"FBtr0330226"	63.53	54.90	54.39	47.47	39.59	46.09	28.03	19.02	14.91	31.38	22.00	24.66
"FBtr0084949"	0.02	0.00	0.00	0.03	0.00	0.12	0.03	0.00	0.00	0.12	0.00	0.04
"FBtr0075523"	29.42	17.14	18.44	26.77	32.86	33.10	46.15	43.54	30.17	54.10	41.21	40.05
"FBtr0075524"	9.59	4.98	7.40	7.28	6.35	9.28	7.88	5.23	6.76	10.43	6.90	9.43
"FBtr0075525"	39.63	28.19	28.31	37.68	30.36	36.37	46.45	40.61	45.05	38.17	41.82	52.79
"FBtr0075526"	1.33	1.35	1.33	1.33	0.20	2.49	1.45	2.54	2.49	1.95	2.09	2.42
"FBtr0330160"	39.63	28.19	28.31	37.68	30.36	36.37	46.45	40.61	45.05	38.17	41.82	52.79
"FBtr0333580"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075621"	21.60	23.12	23.01	51.65	91.36	88.95	184.49	240.05	286.60	237.53	290.48	235.90
"FBtr0070638"	24.98	26.67	21.23	27.39	25.08	27.44	23.38	19.23	16.07	22.54	19.92	21.24
"FBtr0077423"	36.07	37.38	48.25	41.29	65.06	50.79	657.00	662.60	638.35	437.81	388.20	510.90
"FBtr0079084"	14.28	4.14	13.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079085"	39.35	35.89	30.76	40.18	36.17	39.07	38.82	30.56	25.25	33.95	29.81	30.93
"FBtr0302567"	19.02	13.00	13.01	21.40	42.01	37.39	526.79	525.63	511.17	256.47	275.77	363.32
"FBtr0302568"	25.32	14.64	14.16	26.39	20.74	24.68	5.71	5.25	1.36	15.80	10.68	10.41
"FBtr0310624"	4.47	4.26	3.74	0.00	0.00	0.00	2.93	0.45	3.65	0.00	0.00	0.00
"FBtr0310625"	2.90	3.21	1.53	0.39	1.26	1.19	24.05	20.03	16.45	9.01	7.78	12.91
"FBtr0342939"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080087"	13.04	15.08	16.87	18.40	21.99	24.03	6.95	11.69	14.81	30.36	24.29	23.80
"FBtr0300982"	0.00	0.00	0.00	1.28	1.75	0.17	5.05	8.33	0.00	0.00	1.01	0.00
"FBtr0302378"	0.49	1.16	0.99	0.00	0.96	0.41	4.25	2.04	7.02	2.82	3.93	5.13
